Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.03,43.50324535369873,30.40022897720337,1.8366259336471558,0.5381167577579618,41.1079158782959,54.84130096435547,48.32096755504608,1.3126943837851286,20.31594657897949,32.44706726074219,56.27773857116699,15.310376167297363,70.02167320251465,4.978326797485352,0.5768381953239441,49.15953254699707,112.12714958190918,318.46266174316406,0.6994456946849823,0.2647649124264717,4.788916349411011,0.6528397798538208,544966320.0,2.594047427177429,3.639705613255501,92760377344.0,118021295104.0,8315680960.0,-1.0,1872166912.0,15.633700370788574,545000000.0,0.18371532484889028,13120453.0,74.59439086914062,1083789854.0,23468504.388183594,3191582.9375,849137316.0,-1.0,0.478784516453743,1102091264.0,85728237.0,8809635.0,1480174094.0,8.531149864196777,1132.0,447.0,12235.0,7.0,21.32724380493164,2775.0,1920.0,4.0,60.0,58.0,61.0,58.0,59.0,45.0,90.0,545.0,3.0,33.44389498233795,0.8730043172836304,3196.0,1.0,3.0,3.566220998764038
7.13,43.50324535369873,30.40022897720337,1.8366259336471558,0.5381167577579618,41.1079158782959,54.84130096435547,48.32096755504608,1.3126943837851286,20.167634963989254,31.69422149658203,56.27773857116699,15.310376167297363,70.02167320251465,4.978326797485352,0.5313076972961426,49.15953254699707,112.12714958190918,318.46266174316406,0.6994456946849823,0.2647649124264717,4.788916349411011,2.889724969863892,544966320.0,2.594047427177429,3.639705613255501,92760377344.0,118021295104.0,8315680960.0,-1.0,1873323264.0,15.633700370788574,545000000.0,0.18371532484889028,13120453.0,74.59439086914062,1083789854.0,23468504.388183594,3191582.9375,849137316.0,-1.0,0.478784516453743,1102302208.0,85728237.0,8812578.0,1480174094.0,8.531149864196777,1132.0,447.0,12235.0,7.0,21.32724380493164,2775.0,1920.0,4.0,60.0,58.0,61.0,58.0,59.0,45.0,90.0,545.0,3.0,33.44389498233795,0.8730043172836304,3196.0,1.0,3.0,3.566220998764038
7.23,43.50324535369873,30.40022897720337,1.8366259336471558,0.5381167577579618,41.1079158782959,54.84130096435547,48.32096755504608,1.3126943837851286,20.44098281860352,31.70985221862793,56.27773857116699,15.310376167297363,70.02167320251465,4.978326797485352,0.5159538388252258,49.15953254699707,112.12714958190918,318.46266174316406,0.6994456946849823,0.2647649124264717,4.788916349411011,0.6591529846191406,544966320.0,2.594047427177429,3.639705613255501,92760377344.0,118021295104.0,8315680960.0,-1.0,1873953024.0,15.633700370788574,545000000.0,0.18371532484889028,13120453.0,74.59439086914062,1083789854.0,23468504.388183594,3191582.9375,849137316.0,-1.0,0.478784516453743,1102677504.0,85728237.0,8814574.0,1480174094.0,8.531149864196777,1132.0,447.0,12235.0,7.0,21.32724380493164,2775.0,1920.0,4.0,60.0,58.0,61.0,58.0,59.0,45.0,90.0,545.0,3.0,33.44389498233795,0.8730043172836304,3196.0,1.0,3.0,3.566220998764038
7.33,43.50324535369873,30.40022897720337,1.8366259336471558,0.5381167577579618,41.1079158782959,54.84130096435547,48.32096755504608,1.3126943837851286,20.375146865844727,32.41973114013672,56.27773857116699,15.310376167297363,70.02167320251465,4.978326797485352,0.5641157031059265,49.15953254699707,112.12714958190918,318.46266174316406,0.6994456946849823,0.2647649124264717,4.788916349411011,0.688908040523529,544966320.0,2.594047427177429,3.639705613255501,92760377344.0,118021295104.0,8315680960.0,-1.0,1872835840.0,15.633700370788574,545000000.0,0.18371532484889028,13120453.0,74.59439086914062,1083789854.0,23468504.388183594,3191582.9375,849137316.0,-1.0,0.478784516453743,1102452096.0,85728237.0,8812544.0,1480174094.0,8.531149864196777,1132.0,447.0,12235.0,7.0,21.32724380493164,2775.0,1920.0,4.0,60.0,58.0,61.0,58.0,59.0,45.0,90.0,545.0,3.0,33.44389498233795,0.8730043172836304,3196.0,1.0,3.0,3.566220998764038
7.44,43.50324535369873,30.40022897720337,1.8366259336471558,0.5381167577579618,41.1079158782959,54.84130096435547,48.32096755504608,1.3126943837851286,20.427669525146484,31.647743225097656,56.27773857116699,15.310376167297363,70.02167320251465,4.978326797485352,0.521945595741272,49.15953254699707,112.12714958190918,318.46266174316406,0.6994456946849823,0.2647649124264717,4.788916349411011,0.6533427238464355,544966320.0,2.594047427177429,3.639705613255501,92760377344.0,118021295104.0,8315680960.0,-1.0,1873988992.0,15.633700370788574,545000000.0,0.18371532484889028,13120453.0,74.59439086914062,1083789854.0,23468504.388183594,3191582.9375,849137316.0,-1.0,0.478784516453743,1102707200.0,85728237.0,8815172.0,1480174094.0,8.531149864196777,1132.0,447.0,12235.0,7.0,21.32724380493164,2775.0,1920.0,4.0,60.0,58.0,61.0,58.0,59.0,45.0,90.0,545.0,3.0,33.44389498233795,0.8730043172836304,3196.0,1.0,3.0,3.566220998764038
7.46,43.50324535369873,30.40022897720337,1.8366259336471558,0.5381167577579618,41.1079158782959,54.84130096435547,48.32096755504608,1.3126943837851286,20.427669525146484,31.647743225097656,56.27773857116699,15.310376167297363,70.02167320251465,4.978326797485352,0.521945595741272,49.15953254699707,112.12714958190918,318.46266174316406,0.6994456946849823,0.2647649124264717,4.788916349411011,0.6533427238464355,544966320.0,2.594047427177429,3.639705613255501,92760377344.0,118021295104.0,8315680960.0,-1.0,1873988992.0,15.633700370788574,545000000.0,0.18371532484889028,13120453.0,74.59439086914062,1083789854.0,23468504.388183594,3191582.9375,849137316.0,-1.0,0.478784516453743,1102707200.0,85728237.0,8815172.0,1480174094.0,0.7300485372543335,326.0,62.0,7823.0,1.0,20.618207931518555,2775.0,1920.0,4.0,60.0,58.0,61.0,58.0,59.0,45.0,90.0,545.0,3.0,33.44389498233795,0.8730043172836304,3196.0,1.0,3.0,3.566220998764038
7.48,43.50324535369873,30.40022897720337,1.8366259336471558,0.5381167577579618,41.1079158782959,54.84130096435547,48.32096755504608,1.3126943837851286,20.427669525146484,31.647743225097656,56.27773857116699,15.310376167297363,70.02167320251465,4.978326797485352,0.521945595741272,49.15953254699707,112.12714958190918,318.46266174316406,0.6994456946849823,0.2647649124264717,4.788916349411011,0.6533427238464355,544966320.0,2.594047427177429,3.639705613255501,92760377344.0,118021295104.0,8315680960.0,-1.0,1873988992.0,15.633700370788574,545000000.0,0.18371532484889028,13120453.0,74.59439086914062,1083789854.0,23468504.388183594,3191582.9375,849137316.0,-1.0,0.478784516453743,1102707200.0,85728237.0,8815172.0,1480174094.0,0.7300485372543335,115.0,2.0,6330.0,1.0,20.618207931518555,2775.0,1920.0,4.0,60.0,58.0,61.0,58.0,59.0,45.0,90.0,545.0,3.0,33.44389498233795,0.8730043172836304,3196.0,1.0,8.0,3.566220998764038
7.54,43.50324535369873,30.40022897720337,1.8366259336471558,0.5381167577579618,41.1079158782959,54.84130096435547,48.32096755504608,1.3126943837851286,20.214996337890625,32.38050842285156,56.27773857116699,15.310376167297363,70.02167320251465,4.978326797485352,0.5706847310066223,49.15953254699707,112.12714958190918,318.46266174316406,0.6994456946849823,0.2647649124264717,4.788916349411011,0.653319776058197,544966320.0,2.594047427177429,3.639705613255501,92760377344.0,118021295104.0,8315680960.0,-1.0,1872987392.0,15.633700370788574,545000000.0,0.18371532484889028,13120453.0,74.59439086914062,1083789854.0,23468504.388183594,3191582.9375,849137316.0,-1.0,0.478784516453743,1124657536.0,85728237.0,9010781.0,1480174094.0,0.7300485372543335,115.0,2.0,6330.0,1.0,20.618207931518555,2775.0,1920.0,4.0,60.0,58.0,61.0,58.0,59.0,45.0,90.0,545.0,3.0,33.44389498233795,0.8730043172836304,3196.0,1.0,8.0,3.566220998764038
7.64,43.50324535369873,30.40022897720337,1.8366259336471558,0.5381167577579618,41.1079158782959,54.84130096435547,48.32096755504608,1.3126943837851286,20.421894073486328,31.615724563598636,56.27773857116699,15.310376167297363,70.02167320251465,4.978326797485352,0.5624631643295288,49.15953254699707,112.12714958190918,318.46266174316406,0.6994456946849823,0.2647649124264717,4.788916349411011,0.6418598890304565,544966320.0,2.594047427177429,3.639705613255501,92760377344.0,118021295104.0,8315680960.0,-1.0,1874342016.0,15.633700370788574,545000000.0,0.18371532484889028,13120453.0,74.59439086914062,1083789854.0,23468504.388183594,3191582.9375,849137316.0,-1.0,0.478784516453743,1102942848.0,85728237.0,8816972.0,1480174094.0,0.7300485372543335,115.0,2.0,6330.0,1.0,20.618207931518555,2775.0,1920.0,4.0,60.0,58.0,61.0,58.0,59.0,45.0,90.0,545.0,3.0,33.44389498233795,0.8730043172836304,3196.0,1.0,8.0,3.566220998764038
7.68,43.50324535369873,30.40022897720337,1.8366259336471558,0.5381167577579618,41.1079158782959,54.84130096435547,48.32096755504608,1.3126943837851286,20.421894073486328,31.615724563598636,56.27773857116699,15.310376167297363,70.02167320251465,4.978326797485352,0.5624631643295288,49.15953254699707,112.12714958190918,318.46266174316406,0.6994456946849823,0.2647649124264717,4.788916349411011,0.6418598890304565,544966320.0,2.594047427177429,3.639705613255501,92760377344.0,118021295104.0,8315680960.0,-1.0,1874342016.0,15.633700370788574,545000000.0,0.18371532484889028,13120453.0,74.59439086914062,1083789854.0,23468504.388183594,3191582.9375,849137316.0,-1.0,0.478784516453743,1102942848.0,85728237.0,8816972.0,1480174094.0,0.7300485372543335,1132.0,447.0,12235.0,5.0,24.5314884185791,2775.0,1920.0,4.0,94.0,93.0,94.0,89.0,92.0,86.0,90.0,545.0,2.0,35.13442277908325,0.8730043172836304,3196.0,1.0,19.0,3.3668408393859863
