Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.03,63.28218650817871,36.71781349182129,0.4078051249186198,1.930273950099945,35.32833290100098,76.89231491088867,85.56893157958984,0.0522582922130823,19.070676803588867,32.47676467895508,79.9954719543457,21.18259906768799,95.64126586914062,4.358731985092163,0.2887412309646606,66.8920783996582,173.01551818847656,314.60462951660156,1.0357043743133545,0.37276706099510193,6.797611713409424,0.6980253458023071,544989056.0,3.463849186897278,7.322180986404419,187798061056.0,226320588800.0,15194292224.0,-1.0,1493057408.0,24.158416748046875,545000000.0,0.29133501648902893,20254442.0,80.46566772460938,1862036032.0,39816490.0,4118948.25,1556076544.0,-1.0,0.9422288537025452,819692800.0,144101612.0,5641349.5,2687797120.0,1.259936809539795,1165.0,452.0,12234.0,6.0,21.03206825256348,2598.0,1920.0,3.0,48.0,49.0,52.0,55.0,32.0,35.0,90.0,545.0,2.0,34.74515974521637,3196.0,1.0,2.328366756439209
7.05,63.28218650817871,36.71781349182129,0.4078051249186198,1.930273950099945,35.32833290100098,76.89231491088867,85.56893157958984,0.0522582922130823,19.070676803588867,32.47676467895508,79.9954719543457,21.18259906768799,95.64126586914062,4.358731985092163,0.2887412309646606,66.8920783996582,173.01551818847656,314.60462951660156,1.0357043743133545,0.37276706099510193,6.797611713409424,0.6980253458023071,544989056.0,3.463849186897278,7.322180986404419,187798061056.0,226320588800.0,15194292224.0,-1.0,1493057408.0,24.158416748046875,545000000.0,0.29133501648902893,20254442.0,80.46566772460938,1862036032.0,39816490.0,4118948.25,1556076544.0,-1.0,0.9422288537025452,819692800.0,144101612.0,5641349.5,2687797120.0,0.9882603883743286,122.0,2.0,6330.0,1.0,21.03206825256348,2598.0,1920.0,3.0,48.0,49.0,52.0,55.0,32.0,35.0,90.0,545.0,2.0,34.74515974521637,3196.0,1.0,2.328366756439209
7.06,63.28218650817871,36.71781349182129,0.4078051249186198,1.930273950099945,35.32833290100098,76.89231491088867,85.56893157958984,0.0522582922130823,19.070676803588867,32.47676467895508,79.9954719543457,21.18259906768799,95.64126586914062,4.358731985092163,0.2887412309646606,66.8920783996582,173.01551818847656,314.60462951660156,1.0357043743133545,0.37276706099510193,6.797611713409424,0.6980253458023071,544989056.0,3.463849186897278,7.322180986404419,187798061056.0,226320588800.0,15194292224.0,-1.0,1493057408.0,24.158416748046875,545000000.0,0.29133501648902893,20254442.0,80.46566772460938,1862036032.0,39816490.0,4118948.25,1556076544.0,-1.0,0.9422288537025452,819692800.0,144101612.0,5641349.5,2687797120.0,0.6480584144592285,408.0,62.0,7858.0,1.0,32.87753677368164,2598.0,1920.0,3.0,48.0,49.0,52.0,55.0,32.0,35.0,90.0,545.0,2.0,34.74515974521637,3196.0,1.0,2.328366756439209
7.13,63.28218650817871,36.71781349182129,0.4078051249186198,1.930273950099945,35.32833290100098,76.89231491088867,85.56893157958984,0.0522582922130823,20.477724075317383,30.99774169921875,79.9954719543457,21.18259906768799,95.64126586914062,4.358731985092163,0.3880616426467895,66.8920783996582,173.01551818847656,314.60462951660156,1.0357043743133545,0.37276706099510193,6.797611713409424,3.4874629974365234,544989056.0,3.463849186897278,7.322180986404419,187798061056.0,226320588800.0,15194292224.0,-1.0,1505170560.0,24.158416748046875,545000000.0,0.29133501648902893,20254442.0,80.46566772460938,1862036032.0,39816490.0,4118948.25,1556076544.0,-1.0,0.9422288537025452,847924672.0,144101612.0,5919130.0,2687797120.0,0.6480584144592285,408.0,62.0,7858.0,1.0,32.87753677368164,2598.0,1920.0,3.0,48.0,49.0,52.0,55.0,32.0,35.0,90.0,545.0,2.0,34.74515974521637,3196.0,1.0,2.328366756439209
7.23,63.28218650817871,36.71781349182129,0.4078051249186198,1.930273950099945,35.32833290100098,76.89231491088867,85.56893157958984,0.0522582922130823,20.515756607055664,31.05722045898437,79.9954719543457,21.18259906768799,95.64126586914062,4.358731985092163,0.5594744682312012,66.8920783996582,173.01551818847656,314.60462951660156,1.0357043743133545,0.37276706099510193,6.797611713409424,0.6837825775146484,544989056.0,3.463849186897278,7.322180986404419,187798061056.0,226320588800.0,15194292224.0,-1.0,1883068928.0,24.158416748046875,545000000.0,0.29133501648902893,20254442.0,80.46566772460938,1862036032.0,39816490.0,4118948.25,1556076544.0,-1.0,0.9422288537025452,1002384384.0,144101612.0,7925123.5,2687797120.0,0.6480584144592285,408.0,62.0,7858.0,1.0,32.87753677368164,2598.0,1920.0,3.0,48.0,49.0,52.0,55.0,32.0,35.0,90.0,545.0,2.0,34.74515974521637,3196.0,1.0,2.328366756439209
7.33,63.28218650817871,36.71781349182129,0.4078051249186198,1.930273950099945,35.32833290100098,76.89231491088867,85.56893157958984,0.0522582922130823,20.347028732299805,32.48465347290039,79.9954719543457,21.18259906768799,95.64126586914062,4.358731985092163,0.5392522811889648,66.8920783996582,173.01551818847656,314.60462951660156,1.0357043743133545,0.37276706099510193,6.797611713409424,0.713578462600708,544989056.0,3.463849186897278,7.322180986404419,187798061056.0,226320588800.0,15194292224.0,-1.0,1874194048.0,24.158416748046875,545000000.0,0.29133501648902893,20254442.0,80.46566772460938,1862036032.0,39816490.0,4118948.25,1556076544.0,-1.0,0.9422288537025452,1003493952.0,144101612.0,7933566.5,2687797120.0,0.6480584144592285,408.0,62.0,7858.0,1.0,32.87753677368164,2598.0,1920.0,3.0,48.0,49.0,52.0,55.0,32.0,35.0,90.0,545.0,2.0,34.74515974521637,3196.0,1.0,2.328366756439209
7.38,63.28218650817871,36.71781349182129,0.4078051249186198,1.930273950099945,35.32833290100098,76.89231491088867,85.56893157958984,0.0522582922130823,20.347028732299805,32.48465347290039,79.9954719543457,21.18259906768799,95.64126586914062,4.358731985092163,0.5392522811889648,66.8920783996582,173.01551818847656,314.60462951660156,1.0357043743133545,0.37276706099510193,6.797611713409424,0.713578462600708,544989056.0,3.463849186897278,7.322180986404419,187798061056.0,226320588800.0,15194292224.0,-1.0,1874194048.0,24.158416748046875,545000000.0,0.29133501648902893,20254442.0,80.46566772460938,1862036032.0,39816490.0,4118948.25,1556076544.0,-1.0,0.9422288537025452,1003493952.0,144101612.0,7933566.5,2687797120.0,1.3028090000152588,1165.0,452.0,12234.0,7.0,21.13982582092285,2598.0,1920.0,3.0,56.0,53.0,62.0,54.0,42.0,51.0,90.0,545.0,2.0,34.04316306114197,3196.0,3.0,2.324146032333374
7.43,63.28218650817871,36.71781349182129,0.4078051249186198,1.930273950099945,35.32833290100098,76.89231491088867,85.56893157958984,0.0522582922130823,20.510480880737305,31.764623641967773,79.9954719543457,21.18259906768799,95.64126586914062,4.358731985092163,0.5534136295318604,66.8920783996582,173.01551818847656,314.60462951660156,1.0357043743133545,0.37276706099510193,6.797611713409424,0.6542986035346985,544989056.0,3.463849186897278,7.322180986404419,187798061056.0,226320588800.0,15194292224.0,-1.0,1895008384.0,24.158416748046875,545000000.0,0.29133501648902893,20254442.0,80.46566772460938,1862036032.0,39816490.0,4118948.25,1556076544.0,-1.0,0.9422288537025452,1024031680.0,144101612.0,8158294.5,2687797120.0,1.3028090000152588,1165.0,452.0,12234.0,7.0,21.13982582092285,2598.0,1920.0,3.0,56.0,53.0,62.0,54.0,42.0,51.0,90.0,545.0,2.0,34.04316306114197,3196.0,3.0,2.324146032333374
7.53,63.28218650817871,36.71781349182129,0.4078051249186198,1.930273950099945,35.32833290100098,76.89231491088867,85.56893157958984,0.0522582922130823,20.563892364501957,32.507049560546875,79.9954719543457,21.18259906768799,95.64126586914062,4.358731985092163,0.5622183084487915,66.8920783996582,173.01551818847656,314.60462951660156,1.0357043743133545,0.37276706099510193,6.797611713409424,0.650149405002594,544989056.0,3.463849186897278,7.322180986404419,187798061056.0,226320588800.0,15194292224.0,-1.0,1910120960.0,24.158416748046875,545000000.0,0.29133501648902893,20254442.0,80.46566772460938,1862036032.0,39816490.0,4118948.25,1556076544.0,-1.0,0.9422288537025452,1017030272.0,144101612.0,8067023.0,2687797120.0,1.3028090000152588,1165.0,452.0,12234.0,7.0,21.13982582092285,2598.0,1920.0,3.0,56.0,53.0,62.0,54.0,42.0,51.0,90.0,545.0,2.0,34.04316306114197,3196.0,3.0,2.324146032333374
7.63,63.28218650817871,36.71781349182129,0.4078051249186198,1.930273950099945,35.32833290100098,76.89231491088867,85.56893157958984,0.0522582922130823,20.634599685668945,31.75290870666504,79.9954719543457,21.18259906768799,95.64126586914062,4.358731985092163,0.5664037466049194,66.8920783996582,173.01551818847656,314.60462951660156,1.0357043743133545,0.37276706099510193,6.797611713409424,0.6589094400405884,544989056.0,3.463849186897278,7.322180986404419,187798061056.0,226320588800.0,15194292224.0,-1.0,1895044096.0,24.158416748046875,545000000.0,0.29133501648902893,20254442.0,80.46566772460938,1862036032.0,39816490.0,4118948.25,1556076544.0,-1.0,0.9422288537025452,1015774784.0,144101612.0,8027916.0,2687797120.0,1.3028090000152588,1165.0,452.0,12234.0,7.0,21.13982582092285,2598.0,1920.0,3.0,56.0,53.0,62.0,54.0,42.0,51.0,90.0,545.0,2.0,34.04316306114197,3196.0,3.0,2.324146032333374
