Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.03,67.87373352050781,32.12113952636719,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,20.41112518310547,32.60871887207031,81.10379791259766,21.666866302490234,96.17876434326172,3.821233034133911,0.5924686193466187,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,0.6362587809562683,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,161556496384.0,1896609792.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,1.1480178833007812,3.0226845741271973,1112411264.0,109985976.0,8852802.0,1229819904.0,1.728721261024475,481.0,53.0,11743.0,7.0,21.86858558654785,2138.0,2361.0,3.0,68.0,66.0,70.0,57.0,55.0,52.0,90.0,545.0,2.0,33.91468524932861,0.9214959740638732,3196.0,1.0,2.3613007068634038
7.13,67.89047241210938,32.12083435058594,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,20.40711975097656,31.71044158935547,81.10379791259766,21.666866302490234,96.1678695678711,3.832129716873169,0.5522462129592896,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,2.1400961875915527,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,160026378240.0,1880125056.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,1.1489477157592771,3.0226845741271973,1105310720.0,109985976.0,8823431.0,1229819904.0,1.728721261024475,481.0,53.0,11743.0,7.0,21.86858558654785,2138.0,2361.0,3.0,68.0,66.0,70.0,57.0,55.0,52.0,90.0,545.0,2.0,33.91468524932861,0.9214959740638732,3196.0,1.0,2.3613007068634038
7.23,67.85323333740234,32.12068557739258,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,20.66966438293457,32.50849914550781,81.10379791259766,21.666866302490234,96.35189056396484,3.648106336593628,0.5812819600105286,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,1.7820444107055664,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,161470447616.0,1901077376.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,1.1471836566925049,3.0226845741271973,1082749184.0,109985976.0,8612440.0,1229819904.0,1.728721261024475,481.0,53.0,11743.0,7.0,21.86858558654785,2138.0,2361.0,3.0,68.0,66.0,70.0,57.0,55.0,52.0,90.0,545.0,2.0,33.91468524932861,0.9214959740638732,3196.0,1.0,2.3613007068634038
7.31,67.85323333740234,32.12068557739258,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,20.66966438293457,32.50849914550781,81.10379791259766,21.666866302490234,96.35189056396484,3.648106336593628,0.5812819600105286,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,1.7820444107055664,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,161470447616.0,1901077376.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,1.1471836566925049,3.0226845741271973,1082749184.0,109985976.0,8612440.0,1229819904.0,8.980203628540039,301.0,46.0,7827.0,1.0,25.19978141784668,2138.0,2361.0,3.0,68.0,66.0,70.0,57.0,55.0,52.0,90.0,545.0,2.0,33.91468524932861,0.9214959740638732,3196.0,13.0,2.3613007068634038
7.33,68.14900970458984,31.874080657958984,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,20.0175895690918,31.837059020996094,81.10379791259766,21.666866302490234,96.01074981689452,3.9892518520355225,0.5626692771911621,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,6.000472545623779,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,161970716672.0,1908954880.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,1.1472958326339722,3.0226845741271973,1151669632.0,109985976.0,9304934.0,1229819904.0,1.8847289085388184,117.0,2.0,6330.0,1.0,25.19978141784668,2138.0,2361.0,3.0,68.0,66.0,70.0,57.0,55.0,52.0,90.0,545.0,2.0,33.91468524932861,0.9214959740638732,3196.0,1.0,2.3613007068634038
7.43,67.72509765625,32.275569915771484,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,20.74749183654785,31.821046829223636,81.10379791259766,21.666866302490234,96.19515991210938,3.804837226867676,0.5913158059120178,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,0.6441932916641235,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,162899083264.0,1916438016.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,1.148643970489502,3.0226845741271973,1120331520.0,109985976.0,8892546.0,1229819904.0,1.8847289085388184,117.0,2.0,6330.0,1.0,25.19978141784668,2138.0,2361.0,3.0,68.0,66.0,70.0,57.0,55.0,52.0,90.0,545.0,2.0,33.91468524932861,0.9214959740638732,3196.0,1.0,2.3613007068634038
7.53,67.91111755371094,32.06527328491211,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,20.534791946411133,32.53724670410156,81.10379791259766,21.666866302490234,96.22799682617188,3.772001266479492,0.6186277866363525,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,0.6798802614212036,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,162417917952.0,1898195968.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,1.1570298671722412,3.0226845741271973,1105723904.0,109985976.0,8794566.0,1229819904.0,1.8847289085388184,117.0,2.0,6330.0,1.0,25.19978141784668,2138.0,2361.0,3.0,68.0,66.0,70.0,57.0,55.0,52.0,90.0,545.0,2.0,33.91468524932861,0.9214959740638732,3196.0,1.0,2.3613007068634038
7.55,67.91111755371094,32.06527328491211,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,20.534791946411133,32.53724670410156,81.10379791259766,21.666866302490234,96.22799682617188,3.772001266479492,0.6186277866363525,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,0.6798802614212036,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,162417917952.0,1898195968.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,1.1570298671722412,3.0226845741271973,1105723904.0,109985976.0,8794566.0,1229819904.0,1.8847289085388184,456.0,39.0,11685.0,6.0,25.332000732421875,3315.0,2361.0,4.0,87.0,86.0,88.0,85.0,80.0,77.0,90.0,545.0,2.0,35.25914549827576,0.9214959740638732,3196.0,24.0,3.2110719680786133
7.63,67.7789306640625,32.2210693359375,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,20.32657623291016,31.743427276611328,81.10379791259766,21.666866302490234,95.81566619873048,4.184330463409424,0.6513634324073792,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,0.6628119349479675,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,159765725184.0,1989705728.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,1.0779809951782229,3.0226845741271973,1179844608.0,109985976.0,9603088.0,1229819904.0,1.8847289085388184,456.0,39.0,11685.0,6.0,25.332000732421875,3315.0,2361.0,4.0,87.0,86.0,88.0,85.0,80.0,77.0,90.0,545.0,2.0,35.25914549827576,0.9214959740638732,3196.0,24.0,3.2110719680786133
7.73,67.66734313964844,32.33265686035156,0.2841024569102696,0.3377427458763122,26.667604446411133,76.99544525146484,78.1569595336914,0.2388701140880584,20.2447566986084,31.72924041748047,81.10379791259766,21.666866302490234,95.43727111816406,4.562725067138672,1.0589003562927246,93.35303497314452,246.6416778564453,259.9336242675781,1.1228538751602173,0.674335777759552,10.37924575805664,0.6567367911338806,544724480.0,5.134326934814453,14.42762279510498,120681758720.0,147576504320.0,10695662592.0,160016695296.0,2082212864.0,19.791961669921875,545000000.0,0.4235395193099975,9437311.0,332.01910400390625,1438402304.0,20735920.0,934965.75,1207593216.0,1.0256567001342771,3.0226845741271973,1268939264.0,109985976.0,10405590.0,1229819904.0,1.8847289085388184,456.0,39.0,11685.0,6.0,25.332000732421875,3315.0,2361.0,4.0,87.0,86.0,88.0,85.0,80.0,77.0,90.0,545.0,2.0,35.25914549827576,0.9214959740638732,3196.0,24.0,3.2110719680786133
