Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,67.82361602783203,32.17638397216797,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,20.920772552490234,31.740373611450195,38.283426920572914,10.648281733194986,96.73651885986328,3.2634778022766118,0.5507303476333618,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,0.6542951464653015,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,156162932736.0,1943157760.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,1.1056077480316162,0.3821363151073456,1039798464.0,73375198.66666667,8403252.0,1217786135.7161458,1.615908980369568,1174.0,464.0,12264.0,7.0,21.062206268310547,2631.0,9596471868.0,1920.0,3.0,54.0,56.0,53.0,50.0,42.0,52.0,90.0,545.0,2.0,34.13175940513611,2736.0,3.0,2.262099266052246
7.01,67.82361602783203,32.17638397216797,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,20.920772552490234,31.740373611450195,38.283426920572914,10.648281733194986,96.73651885986328,3.2634778022766118,0.5507303476333618,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,0.6542951464653015,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,156162932736.0,1943157760.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,1.1056077480316162,0.3821363151073456,1039798464.0,73375198.66666667,8403252.0,1217786135.7161458,1.615908980369568,1174.0,464.0,12264.0,7.0,21.062206268310547,2631.0,8127123190.0,1920.0,3.0,54.0,56.0,53.0,50.0,42.0,52.0,90.0,545.0,2.0,34.13175940513611,2736.0,3.0,2.262099266052246
7.02,67.82361602783203,32.17638397216797,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,20.920772552490234,31.740373611450195,38.283426920572914,10.648281733194986,96.73651885986328,3.2634778022766118,0.5507303476333618,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,0.6542951464653015,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,156162932736.0,1943157760.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,1.1056077480316162,0.3821363151073456,1039798464.0,73375198.66666667,8403252.0,1217786135.7161458,1.615908980369568,1174.0,464.0,12264.0,7.0,21.062206268310547,2631.0,8153792759.0,1920.0,3.0,54.0,56.0,53.0,50.0,42.0,52.0,90.0,545.0,2.0,34.13175940513611,2736.0,3.0,2.262099266052246
7.03,67.82361602783203,32.17638397216797,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,20.920772552490234,31.740373611450195,38.283426920572914,10.648281733194986,96.73651885986328,3.2634778022766118,0.5507303476333618,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,0.6542951464653015,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,156162932736.0,1943157760.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,1.1056077480316162,0.3821363151073456,1039798464.0,73375198.66666667,8403252.0,1217786135.7161458,1.615908980369568,1174.0,464.0,12264.0,7.0,21.062206268310547,2631.0,6379820862.0,1920.0,3.0,54.0,56.0,53.0,50.0,42.0,52.0,90.0,545.0,2.0,34.13175940513611,2736.0,3.0,2.262099266052246
7.04,67.82361602783203,32.17638397216797,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,20.920772552490234,31.740373611450195,38.283426920572914,10.648281733194986,96.73651885986328,3.2634778022766118,0.5507303476333618,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,0.6542951464653015,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,156162932736.0,1943157760.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,1.1056077480316162,0.3821363151073456,1039798464.0,73375198.66666667,8403252.0,1217786135.7161458,1.615908980369568,1174.0,464.0,12264.0,7.0,21.062206268310547,2631.0,9682522039.0,1920.0,3.0,54.0,56.0,53.0,50.0,42.0,52.0,90.0,545.0,2.0,34.13175940513611,2736.0,3.0,2.262099266052246
7.05,67.82361602783203,32.17638397216797,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,20.920772552490234,31.740373611450195,38.283426920572914,10.648281733194986,96.73651885986328,3.2634778022766118,0.5507303476333618,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,0.6542951464653015,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,156162932736.0,1943157760.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,1.1056077480316162,0.3821363151073456,1039798464.0,73375198.66666667,8403252.0,1217786135.7161458,0.6978002786636353,122.0,2.0,6313.0,1.0,21.062206268310547,2631.0,8209808260.5,1920.0,3.0,54.0,56.0,53.0,50.0,42.0,52.0,90.0,545.0,2.0,34.13175940513611,2736.0,3.0,2.262099266052246
7.06,67.82361602783203,32.17638397216797,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,20.920772552490234,31.740373611450195,38.283426920572914,10.648281733194986,96.73651885986328,3.2634778022766118,0.5507303476333618,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,0.6542951464653015,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,156162932736.0,1943157760.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,1.1056077480316162,0.3821363151073456,1039798464.0,73375198.66666667,8403252.0,1217786135.7161458,0.6480584144592285,408.0,62.0,7858.0,1.0,32.87753677368164,2631.0,6585238146.5,1920.0,3.0,54.0,56.0,53.0,50.0,42.0,52.0,90.0,545.0,2.0,34.13175940513611,2736.0,3.0,2.262099266052246
7.07,67.82361602783203,32.17638397216797,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,20.920772552490234,31.740373611450195,38.283426920572914,10.648281733194986,96.73651885986328,3.2634778022766118,0.5507303476333618,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,0.6542951464653015,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,156162932736.0,1943157760.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,1.1056077480316162,0.3821363151073456,1039798464.0,73375198.66666667,8403252.0,1217786135.7161458,0.6480584144592285,408.0,62.0,7858.0,1.0,32.87753677368164,2631.0,8266712424.0,1920.0,3.0,54.0,56.0,53.0,50.0,42.0,52.0,90.0,545.0,2.0,34.13175940513611,2736.0,3.0,2.262099266052246
7.09,67.91820526123047,32.081790924072266,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,20.610279083251957,31.741012573242188,38.283426920572914,10.648281733194986,96.88111114501952,3.118889331817627,0.5972980260848999,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,0.6533041596412659,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,159745540096.0,1874189440.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,1.1495245695114136,0.3821363151073456,1003067392.0,73375198.66666667,7929641.0,1217786135.7161458,0.6480584144592285,408.0,62.0,7858.0,1.0,32.87753677368164,2631.0,7026214415.333333,1920.0,3.0,54.0,56.0,53.0,50.0,42.0,52.0,90.0,545.0,2.0,34.13175940513611,2736.0,3.0,2.262099266052246
7.1,67.91820526123047,32.081790924072266,0.5885646343231201,0.872718354066213,24.393697102864582,36.898240407307945,34.33226648966471,0.11510502748812236,20.610279083251957,31.741012573242188,38.283426920572914,10.648281733194986,96.88111114501952,3.118889331817627,0.5972980260848999,32.0477492014567,78.96171315511067,156.5072784423828,0.48612246910731,0.1968045731385549,3.307755708694458,0.6533041596412659,544943968.0,1.7495812972386677,2.951860030492147,77624444245.33333,99055760725.33333,6874162517.333333,159745540096.0,1874189440.0,60.1130846341451,545000000.0,0.13346760223309198,11534349.0,96.82171630859375,895098282.6666666,19764547.333333332,2353735.2916666665,718711424.0,1.1495245695114136,0.3821363151073456,1003067392.0,73375198.66666667,7929641.0,1217786135.7161458,0.6480584144592285,408.0,62.0,7858.0,1.0,32.87753677368164,2631.0,6667921363.0,1920.0,3.0,54.0,56.0,53.0,50.0,42.0,52.0,90.0,545.0,2.0,34.13175940513611,2736.0,3.0,2.262099266052246
