Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,68.18614959716797,31.82752227783203,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,20.2486629486084,32.48773956298828,78.64901351928711,21.578746795654297,96.85272979736328,3.1472716331481934,0.5904349088668823,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,0.6579501628875732,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,160648871936.0,1885775232.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,1.1488540172576904,0.9419043958187102,1021801152.0,150566740.0,8182441.5,2781236096.0,1.411699891090393,916.0,140.0,11975.0,7.0,23.04207992553711,3270.0,8189482388.5,1920.0,3.0,57.0,56.0,59.0,45.0,55.0,47.0,90.0,545.0,2.0,34.43870544433594,1.081253170967102,3196.0,5.0,2.267950773239136
7.01,68.18614959716797,31.82752227783203,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,20.2486629486084,32.48773956298828,78.64901351928711,21.578746795654297,96.85272979736328,3.1472716331481934,0.5904349088668823,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,0.6579501628875732,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,160648871936.0,1885775232.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,1.1488540172576904,0.9419043958187102,1021801152.0,150566740.0,8182441.5,2781236096.0,1.411699891090393,916.0,140.0,11975.0,7.0,23.04207992553711,3270.0,8219696481.0,1920.0,3.0,57.0,56.0,59.0,45.0,55.0,47.0,90.0,545.0,2.0,34.43870544433594,1.081253170967102,3196.0,5.0,2.267950773239136
7.02,68.18614959716797,31.82752227783203,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,20.2486629486084,32.48773956298828,78.64901351928711,21.578746795654297,96.85272979736328,3.1472716331481934,0.5904349088668823,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,0.6579501628875732,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,160648871936.0,1885775232.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,1.1488540172576904,0.9419043958187102,1021801152.0,150566740.0,8182441.5,2781236096.0,1.411699891090393,916.0,140.0,11975.0,7.0,23.04207992553711,3270.0,8180126723.0,1920.0,3.0,57.0,56.0,59.0,45.0,55.0,47.0,90.0,545.0,2.0,34.43870544433594,1.081253170967102,3196.0,5.0,2.267950773239136
7.03,68.18614959716797,31.82752227783203,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,20.2486629486084,32.48773956298828,78.64901351928711,21.578746795654297,96.85272979736328,3.1472716331481934,0.5904349088668823,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,0.6579501628875732,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,160648871936.0,1885775232.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,1.1488540172576904,0.9419043958187102,1021801152.0,150566740.0,8182441.5,2781236096.0,1.411699891090393,916.0,140.0,11975.0,7.0,23.04207992553711,3270.0,6904487905.0,1920.0,3.0,57.0,56.0,59.0,45.0,55.0,47.0,90.0,545.0,2.0,34.43870544433594,1.081253170967102,3196.0,5.0,2.267950773239136
7.04,68.18614959716797,31.82752227783203,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,20.2486629486084,32.48773956298828,78.64901351928711,21.578746795654297,96.85272979736328,3.1472716331481934,0.5904349088668823,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,0.6579501628875732,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,160648871936.0,1885775232.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,1.1488540172576904,0.9419043958187102,1021801152.0,150566740.0,8182441.5,2781236096.0,1.411699891090393,916.0,140.0,11975.0,7.0,23.04207992553711,3270.0,9512768553.0,1920.0,3.0,57.0,56.0,59.0,45.0,55.0,47.0,90.0,545.0,2.0,34.43870544433594,1.081253170967102,3196.0,5.0,2.267950773239136
7.05,68.18614959716797,31.82752227783203,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,20.2486629486084,32.48773956298828,78.64901351928711,21.578746795654297,96.85272979736328,3.1472716331481934,0.5904349088668823,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,0.6579501628875732,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,160648871936.0,1885775232.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,1.1488540172576904,0.9419043958187102,1021801152.0,150566740.0,8182441.5,2781236096.0,1.411699891090393,916.0,140.0,11975.0,7.0,23.04207992553711,3270.0,8237334909.0,1920.0,3.0,57.0,56.0,59.0,45.0,55.0,47.0,90.0,545.0,2.0,34.43870544433594,1.081253170967102,3196.0,5.0,2.267950773239136
7.06,68.18614959716797,31.82752227783203,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,20.2486629486084,32.48773956298828,78.64901351928711,21.578746795654297,96.85272979736328,3.1472716331481934,0.5904349088668823,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,0.6579501628875732,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,160648871936.0,1885775232.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,1.1488540172576904,0.9419043958187102,1021801152.0,150566740.0,8182441.5,2781236096.0,1.411699891090393,916.0,140.0,11975.0,7.0,23.04207992553711,3270.0,7097881133.0,1920.0,3.0,57.0,56.0,59.0,45.0,55.0,47.0,90.0,545.0,2.0,34.43870544433594,1.081253170967102,3196.0,5.0,2.267950773239136
7.07,68.18614959716797,31.82752227783203,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,20.2486629486084,32.48773956298828,78.64901351928711,21.578746795654297,96.85272979736328,3.1472716331481934,0.5904349088668823,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,0.6579501628875732,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,160648871936.0,1885775232.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,1.1488540172576904,0.9419043958187102,1021801152.0,150566740.0,8182441.5,2781236096.0,1.411699891090393,916.0,140.0,11975.0,7.0,23.04207992553711,3270.0,7058096433.0,1920.0,3.0,57.0,56.0,59.0,45.0,55.0,47.0,90.0,545.0,2.0,34.43870544433594,1.081253170967102,3196.0,5.0,2.267950773239136
7.08,68.18614959716797,31.82752227783203,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,20.2486629486084,32.48773956298828,78.64901351928711,21.578746795654297,96.85272979736328,3.1472716331481934,0.5904349088668823,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,0.6579501628875732,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,160648871936.0,1885775232.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,1.1488540172576904,0.9419043958187102,1021801152.0,150566740.0,8182441.5,2781236096.0,1.411699891090393,916.0,140.0,11975.0,7.0,23.04207992553711,3270.0,7017502106.0,1920.0,3.0,57.0,56.0,59.0,45.0,55.0,47.0,90.0,545.0,2.0,34.43870544433594,1.081253170967102,3196.0,5.0,2.267950773239136
7.09,68.18614959716797,31.82752227783203,4.573468208312988,1.8434908390045166,34.835758209228516,75.88725662231445,84.50656509399414,0.5102468952536583,20.2486629486084,32.48773956298828,78.64901351928711,21.578746795654297,96.85272979736328,3.1472716331481934,0.5904349088668823,63.333740234375,169.7296371459961,321.44126892089844,1.022791475057602,0.3605271577835083,6.756386756896973,0.6579501628875732,545102848.0,3.3709003925323486,7.124545335769653,182888341504.0,235546337280.0,16093571584.0,160648871936.0,1885775232.0,24.693462371826172,545000000.0,0.2566090226173401,21365163.0,97.45132882254464,1958624512.0,42088960.0,4217957.375,1634578624.0,1.1488540172576904,0.9419043958187102,1021801152.0,150566740.0,8182441.5,2781236096.0,1.411699891090393,916.0,140.0,11975.0,7.0,23.04207992553711,3270.0,8393178774.5,1920.0,3.0,57.0,56.0,59.0,45.0,55.0,47.0,90.0,545.0,2.0,34.43870544433594,1.081253170967102,3196.0,5.0,2.267950773239136
