Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.04,1.3037385940551758,22.431184768676758,0.01536925882101055,32.47013854980469,0.4029104113578796,-1.0,-1.0,-1.0,0.5169770121574402,-1.0,3.1049548387527466,2.4254813194274902,544990944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.779475688934326,545000000.0,-1.0,13915086.0,96.29445975167411,1165615136.0,27379724.0,2841239.5,967564992.0,-1.0,-1.0,-1.0,90023572.0,7392337.0,1581416100.0664062,1.17304265499115,1183.0,452.0,12259.0,6.0,26.29857063293457,2596.0,1920.0,4.0,66.0,65.0,69.0,59.0,68.0,57.0,90.0,545.0,2.0,31.62549734115601,3196.0,42.0,3.3054018020629883
7.14,1.3037385940551758,22.431184768676758,0.01536925882101055,31.713720321655277,0.3423189222812652,-1.0,-1.0,-1.0,0.5169770121574402,-1.0,3.1049548387527466,0.6544933319091797,544990944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.779475688934326,545000000.0,-1.0,13915086.0,96.29445975167411,1165615136.0,27379724.0,2841239.5,967564992.0,-1.0,-1.0,-1.0,90023572.0,7446463.0,1581416100.0664062,1.17304265499115,1183.0,452.0,12259.0,6.0,26.29857063293457,2596.0,1920.0,4.0,66.0,65.0,69.0,59.0,68.0,57.0,90.0,545.0,2.0,31.62549734115601,3196.0,42.0,3.3054018020629883
7.24,1.3037385940551758,22.431184768676758,0.01536925882101055,31.704345703125,0.3892385959625244,-1.0,-1.0,-1.0,0.5169770121574402,-1.0,3.1049548387527466,0.6537584662437439,544990944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.779475688934326,545000000.0,-1.0,13915086.0,96.29445975167411,1165615136.0,27379724.0,2841239.5,967564992.0,-1.0,-1.0,-1.0,90023572.0,7673038.5,1581416100.0664062,1.17304265499115,1183.0,452.0,12259.0,6.0,26.29857063293457,2596.0,1920.0,4.0,66.0,65.0,69.0,59.0,68.0,57.0,90.0,545.0,2.0,31.62549734115601,3196.0,42.0,3.3054018020629883
7.34,1.3037385940551758,22.431184768676758,0.01536925882101055,32.48284149169922,0.390781432390213,-1.0,-1.0,-1.0,0.5169770121574402,-1.0,3.1049548387527466,0.6479942202568054,544990944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.779475688934326,545000000.0,-1.0,13915086.0,96.29445975167411,1165615136.0,27379724.0,2841239.5,967564992.0,-1.0,-1.0,-1.0,90023572.0,7483687.5,1581416100.0664062,1.17304265499115,1183.0,452.0,12259.0,6.0,26.29857063293457,2596.0,1920.0,4.0,66.0,65.0,69.0,59.0,68.0,57.0,90.0,545.0,2.0,31.62549734115601,3196.0,42.0,3.3054018020629883
7.44,1.3037385940551758,22.431184768676758,0.01536925882101055,31.73914909362793,0.3654334247112274,-1.0,-1.0,-1.0,0.5169770121574402,-1.0,3.1049548387527466,0.6679801940917969,544990944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.779475688934326,545000000.0,-1.0,13915086.0,96.29445975167411,1165615136.0,27379724.0,2841239.5,967564992.0,-1.0,-1.0,-1.0,90023572.0,7455261.0,1581416100.0664062,1.17304265499115,1183.0,452.0,12259.0,6.0,26.29857063293457,2596.0,1920.0,4.0,66.0,65.0,69.0,59.0,68.0,57.0,90.0,545.0,2.0,31.62549734115601,3196.0,42.0,3.3054018020629883
7.54,1.3037385940551758,22.431184768676758,0.01536925882101055,32.43868637084961,0.4139679968357086,-1.0,-1.0,-1.0,0.5169770121574402,-1.0,3.1049548387527466,0.6737495064735413,544990944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.779475688934326,545000000.0,-1.0,13915086.0,96.29445975167411,1165615136.0,27379724.0,2841239.5,967564992.0,-1.0,-1.0,-1.0,90023572.0,7582511.5,1581416100.0664062,1.17304265499115,1183.0,452.0,12259.0,6.0,26.29857063293457,2596.0,1920.0,4.0,66.0,65.0,69.0,59.0,68.0,57.0,90.0,545.0,2.0,31.62549734115601,3196.0,42.0,3.3054018020629883
7.64,1.3037385940551758,22.431184768676758,0.01536925882101055,31.73902702331543,0.3520220816135406,-1.0,-1.0,-1.0,0.5169770121574402,-1.0,3.1049548387527466,0.6745152473449707,544990944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.779475688934326,545000000.0,-1.0,13915086.0,96.29445975167411,1165615136.0,27379724.0,2841239.5,967564992.0,-1.0,-1.0,-1.0,90023572.0,7473403.5,1581416100.0664062,1.17304265499115,1183.0,452.0,12259.0,6.0,26.29857063293457,2596.0,1920.0,4.0,66.0,65.0,69.0,59.0,68.0,57.0,90.0,545.0,2.0,31.62549734115601,3196.0,42.0,3.3054018020629883
7.74,1.3037385940551758,22.431184768676758,0.01536925882101055,31.734037399291992,0.3506591022014618,-1.0,-1.0,-1.0,0.5169770121574402,-1.0,3.1049548387527466,0.6450295448303223,544990944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.779475688934326,545000000.0,-1.0,13915086.0,96.29445975167411,1165615136.0,27379724.0,2841239.5,967564992.0,-1.0,-1.0,-1.0,90023572.0,7474873.0,1581416100.0664062,0.3476283550262451,119.0,2.0,6330.0,1.0,26.29857063293457,2596.0,1920.0,4.0,66.0,65.0,69.0,59.0,68.0,57.0,90.0,545.0,2.0,31.62549734115601,3196.0,1.0,3.3054018020629883
7.75,1.3037385940551758,22.431184768676758,0.01536925882101055,31.734037399291992,0.3506591022014618,-1.0,-1.0,-1.0,0.5169770121574402,-1.0,3.1049548387527466,0.6450295448303223,544990944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.779475688934326,545000000.0,-1.0,13915086.0,96.29445975167411,1165615136.0,27379724.0,2841239.5,967564992.0,-1.0,-1.0,-1.0,90023572.0,7474873.0,1581416100.0664062,0.7154679298400879,388.0,60.0,7917.0,1.0,32.04816818237305,2596.0,1920.0,4.0,66.0,65.0,69.0,59.0,68.0,57.0,90.0,545.0,2.0,31.62549734115601,3196.0,1.0,3.3054018020629883
7.8,1.3037385940551758,22.431184768676758,0.01536925882101055,31.734037399291992,0.3506591022014618,-1.0,-1.0,-1.0,0.5169770121574402,-1.0,3.1049548387527466,0.6450295448303223,544990944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.779475688934326,545000000.0,-1.0,13915086.0,96.29445975167411,1165615136.0,27379724.0,2841239.5,967564992.0,-1.0,-1.0,-1.0,90023572.0,7474873.0,1581416100.0664062,0.7154679298400879,1183.0,452.0,12259.0,2.0,41.60459518432617,2596.0,1920.0,4.0,82.0,82.0,82.0,86.0,91.0,87.0,90.0,545.0,2.0,34.56930220127106,3196.0,39.0,3.3495051860809326
7.84,1.3037385940551758,22.431184768676758,0.01536925882101055,32.47214126586914,0.3866966068744659,-1.0,-1.0,-1.0,0.5169770121574402,-1.0,3.1049548387527466,0.7515915036201477,544990944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.779475688934326,545000000.0,-1.0,13915086.0,96.29445975167411,1165615136.0,27379724.0,2841239.5,967564992.0,-1.0,-1.0,-1.0,90023572.0,7313716.5,1581416100.0664062,0.7154679298400879,1183.0,452.0,12259.0,2.0,41.60459518432617,2596.0,1920.0,4.0,82.0,82.0,82.0,86.0,91.0,87.0,90.0,545.0,2.0,34.56930220127106,3196.0,39.0,3.3495051860809326
7.95,1.3037385940551758,22.431184768676758,0.01536925882101055,31.74201202392578,0.503139853477478,-1.0,-1.0,-1.0,0.5169770121574402,-1.0,3.1049548387527466,6.696639060974121,544990944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.779475688934326,545000000.0,-1.0,13915086.0,96.29445975167411,1165615136.0,27379724.0,2841239.5,967564992.0,-1.0,-1.0,-1.0,90023572.0,8881355.0,1581416100.0664062,0.7154679298400879,1183.0,452.0,12259.0,2.0,41.60459518432617,2596.0,1920.0,4.0,82.0,82.0,82.0,86.0,91.0,87.0,90.0,545.0,2.0,34.56930220127106,3196.0,39.0,3.3495051860809326
