Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.08,67.60508728027344,32.36920166015625,0.5860361312516034,1.8123002350330353,37.95939779281616,74.23509216308594,54.11265182495117,0.1024726422037929,22.375408172607425,31.41693878173828,76.99079513549805,20.86495542526245,94.60317993164062,5.39682149887085,0.4619449377059936,63.55830478668213,158.9162826538086,323.679988861084,0.9705063104629517,0.3861334398388862,7.810260653495789,5.550183773040772,544744112.0,3.3663346767425537,6.228402256965637,145358110720.0,185222346752.0,12894507904.0,125368180736.0,2092407552.0,16.559771299362183,545000000.0,0.2711828909814358,21119490.125,547.2627563476562,1758294944.0,36971866.0,4296380.90625,1362798848.0,1.0261783599853516,0.803262747824192,1365422336.0,145196012.0,11733746.0,2352103472.0,0.188209556043148,228.0,24.0,7059.0,1.0,18.00788116455078,2745.0,2361.0,3.0,46.0,43.0,50.0,41.0,51.0,29.0,90.0,545.0,2.0,35.786473751068115,1.166006326675415,2736.0,2.0,2.0,2.2749812602996826
7.11,67.60508728027344,32.36920166015625,0.5860361312516034,1.8123002350330353,37.95939779281616,74.23509216308594,54.11265182495117,0.1024726422037929,22.375408172607425,31.41693878173828,76.99079513549805,20.86495542526245,94.60317993164062,5.39682149887085,0.4619449377059936,63.55830478668213,158.9162826538086,323.679988861084,0.9705063104629517,0.3861334398388862,7.810260653495789,5.550183773040772,544744112.0,3.3663346767425537,6.228402256965637,145358110720.0,185222346752.0,12894507904.0,125368180736.0,2092407552.0,16.559771299362183,545000000.0,0.2711828909814358,21119490.125,547.2627563476562,1758294944.0,36971866.0,4296380.90625,1362798848.0,1.0261783599853516,0.803262747824192,1365422336.0,145196012.0,11733746.0,2352103472.0,0.5705342292785645,1152.0,463.0,12233.0,6.0,24.8984432220459,2745.0,2361.0,4.0,64.0,64.0,70.0,46.0,51.0,42.0,90.0,545.0,2.0,35.451504588127136,1.166006326675415,2736.0,2.0,2.0,3.0625369548797607
7.18,67.68739318847656,32.31260681152344,0.5860361312516034,1.8123002350330353,37.95939779281616,74.23509216308594,54.11265182495117,0.1024726422037929,20.83163452148437,32.472007751464844,76.99079513549805,20.86495542526245,95.70944213867188,4.290560245513916,0.574187159538269,63.55830478668213,158.9162826538086,323.679988861084,0.9705063104629517,0.3861334398388862,7.810260653495789,0.6479620337486267,544744112.0,3.3663346767425537,6.228402256965637,145358110720.0,185222346752.0,12894507904.0,149827141632.0,2056309248.0,16.559771299362183,545000000.0,0.2711828909814358,21119490.125,547.2627563476562,1758294944.0,36971866.0,4296380.90625,1362798848.0,1.0389564037322998,0.803262747824192,1200024576.0,145196012.0,10073023.0,2352103472.0,0.5705342292785645,1152.0,463.0,12233.0,6.0,24.8984432220459,2745.0,2361.0,4.0,64.0,64.0,70.0,46.0,51.0,42.0,90.0,545.0,2.0,35.451504588127136,1.166006326675415,2736.0,2.0,2.0,3.0625369548797607
7.28,67.91815185546875,32.081844329833984,0.5860361312516034,1.8123002350330353,37.95939779281616,74.23509216308594,54.11265182495117,0.1024726422037929,20.40533447265625,31.729406356811523,76.99079513549805,20.86495542526245,96.16243743896484,3.83756160736084,0.5609589219093323,63.55830478668213,158.9162826538086,323.679988861084,0.9705063104629517,0.3861334398388862,7.810260653495789,0.6627810001373291,544744112.0,3.3663346767425537,6.228402256965637,145358110720.0,185222346752.0,12894507904.0,158991269888.0,1869921536.0,16.559771299362183,545000000.0,0.2711828909814358,21119490.125,547.2627563476562,1758294944.0,36971866.0,4296380.90625,1362798848.0,1.1494991779327393,0.803262747824192,1100275456.0,145196012.0,8795423.0,2352103472.0,0.5705342292785645,1152.0,463.0,12233.0,6.0,24.8984432220459,2745.0,2361.0,4.0,64.0,64.0,70.0,46.0,51.0,42.0,90.0,545.0,2.0,35.451504588127136,1.166006326675415,2736.0,2.0,2.0,3.0625369548797607
7.38,67.91837310791016,32.081626892089844,0.5860361312516034,1.8123002350330353,37.95939779281616,74.23509216308594,54.11265182495117,0.1024726422037929,20.459529876708984,31.7097282409668,76.99079513549805,20.86495542526245,96.1528091430664,3.847193479537964,0.5390923023223877,63.55830478668213,158.9162826538086,323.679988861084,0.9705063104629517,0.3861334398388862,7.810260653495789,0.6545630693435669,544744112.0,3.3663346767425537,6.228402256965637,145358110720.0,185222346752.0,12894507904.0,158836359168.0,1868096896.0,16.559771299362183,545000000.0,0.2711828909814358,21119490.125,547.2627563476562,1758294944.0,36971866.0,4296380.90625,1362798848.0,1.14950692653656,0.803262747824192,1099236224.0,145196012.0,8787049.0,2352103472.0,0.5705342292785645,1152.0,463.0,12233.0,6.0,24.8984432220459,2745.0,2361.0,4.0,64.0,64.0,70.0,46.0,51.0,42.0,90.0,545.0,2.0,35.451504588127136,1.166006326675415,2736.0,2.0,2.0,3.0625369548797607
7.48,67.94081115722656,32.05918502807617,0.5860361312516034,1.8123002350330353,37.95939779281616,74.23509216308594,54.11265182495117,0.1024726422037929,20.383316040039062,32.48665237426758,76.99079513549805,20.86495542526245,96.16390991210938,3.836087942123413,0.5524101853370667,63.55830478668213,158.9162826538086,323.679988861084,0.9705063104629517,0.3861334398388862,7.810260653495789,0.6567326784133911,544744112.0,3.3663346767425537,6.228402256965637,145358110720.0,185222346752.0,12894507904.0,159049695232.0,1869883776.0,16.559771299362183,545000000.0,0.2711828909814358,21119490.125,547.2627563476562,1758294944.0,36971866.0,4296380.90625,1362798848.0,1.1495426893234253,0.803262747824192,1100703104.0,145196012.0,8798554.0,2352103472.0,0.5705342292785645,1152.0,463.0,12233.0,6.0,24.8984432220459,2745.0,2361.0,4.0,64.0,64.0,70.0,46.0,51.0,42.0,90.0,545.0,2.0,35.451504588127136,1.166006326675415,2736.0,2.0,2.0,3.0625369548797607
7.58,67.91780090332031,32.08219909667969,0.5860361312516034,1.8123002350330353,37.95939779281616,74.23509216308594,54.11265182495117,0.1024726422037929,20.51618194580078,31.730018615722656,76.99079513549805,20.86495542526245,96.16463470458984,3.835367202758789,0.5229704976081848,63.55830478668213,158.9162826538086,323.679988861084,0.9705063104629517,0.3861334398388862,7.810260653495789,0.6460036039352417,544744112.0,3.3663346767425537,6.228402256965637,145358110720.0,185222346752.0,12894507904.0,159360401408.0,1874269952.0,16.559771299362183,545000000.0,0.2711828909814358,21119490.125,547.2627563476562,1758294944.0,36971866.0,4296380.90625,1362798848.0,1.1494863033294678,0.803262747824192,1102835840.0,145196012.0,8815886.0,2352103472.0,0.5705342292785645,1152.0,463.0,12233.0,6.0,24.8984432220459,2745.0,2361.0,4.0,64.0,64.0,70.0,46.0,51.0,42.0,90.0,545.0,2.0,35.451504588127136,1.166006326675415,2736.0,2.0,2.0,3.0625369548797607
7.68,67.94084930419922,32.05914688110352,0.5860361312516034,1.8123002350330353,37.95939779281616,74.23509216308594,54.11265182495117,0.1024726422037929,20.38821601867676,32.50397872924805,76.99079513549805,20.86495542526245,96.156005859375,3.843994140625,0.5754563212394714,63.55830478668213,158.9162826538086,323.679988861084,0.9705063104629517,0.3861334398388862,7.810260653495789,0.6778198480606079,544744112.0,3.3663346767425537,6.228402256965637,145358110720.0,185222346752.0,12894507904.0,159097143296.0,1870440704.0,16.559771299362183,545000000.0,0.2711828909814358,21119490.125,547.2627563476562,1758294944.0,36971866.0,4296380.90625,1362798848.0,1.1495440006256104,0.803262747824192,1101024896.0,145196012.0,8801035.0,2352103472.0,0.5705342292785645,1152.0,463.0,12233.0,6.0,24.8984432220459,2745.0,2361.0,4.0,64.0,64.0,70.0,46.0,51.0,42.0,90.0,545.0,2.0,35.451504588127136,1.166006326675415,2736.0,2.0,2.0,3.0625369548797607
7.78,67.91766357421875,32.08233642578125,0.5860361312516034,1.8123002350330353,37.95939779281616,74.23509216308594,54.11265182495117,0.1024726422037929,20.55618667602539,31.73305320739746,76.99079513549805,20.86495542526245,96.16287231445312,3.837128639221192,0.5113059282302856,63.55830478668213,158.9162826538086,323.679988861084,0.9705063104629517,0.3861334398388862,7.810260653495789,0.6378041505813599,544744112.0,3.3663346767425537,6.228402256965637,145358110720.0,185222346752.0,12894507904.0,159240896512.0,1872866816.0,16.559771299362183,545000000.0,0.2711828909814358,21119490.125,547.2627563476562,1758294944.0,36971866.0,4296380.90625,1362798848.0,1.1494814157485962,0.803262747824192,1102038272.0,145196012.0,8809495.0,2352103472.0,0.5705342292785645,1152.0,463.0,12233.0,6.0,24.8984432220459,2745.0,2361.0,4.0,64.0,64.0,70.0,46.0,51.0,42.0,90.0,545.0,2.0,35.451504588127136,1.166006326675415,2736.0,2.0,2.0,3.0625369548797607
7.88,67.917724609375,32.082275390625,0.5860361312516034,1.8123002350330353,37.95939779281616,74.23509216308594,54.11265182495117,0.1024726422037929,20.71112823486328,31.717527389526367,76.99079513549805,20.86495542526245,96.31239318847656,3.6876041889190674,0.5826829075813293,63.55830478668213,158.9162826538086,323.679988861084,0.9705063104629517,0.3861334398388862,7.810260653495789,1.741316795349121,544744112.0,3.3663346767425537,6.228402256965637,145358110720.0,185222346752.0,12894507904.0,159284150272.0,1873374720.0,16.559771299362183,545000000.0,0.2711828909814358,21119490.125,547.2627563476562,1758294944.0,36971866.0,4296380.90625,1362798848.0,1.149483561515808,0.803262747824192,1080221184.0,145196012.0,8613541.0,2352103472.0,0.5705342292785645,1152.0,463.0,12233.0,6.0,24.8984432220459,2745.0,2361.0,4.0,64.0,64.0,70.0,46.0,51.0,42.0,90.0,545.0,2.0,35.451504588127136,1.166006326675415,2736.0,2.0,2.0,3.0625369548797607
