Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.01,77.76121520996094,22.234111785888672,14.684810425554003,14.89614703655243,36.58037147521973,27.29112091064453,20.249689531326293,0.01156969880685208,17.738292694091797,27.18546867370605,28.450831604003906,8.152851867675782,96.54373931884766,3.456264019012451,0.483437567949295,19.728836059570312,1673.8756103515625,118.800830078125,2.832946932315827,0.15346686840057372,261.6951712608337,58.56577301025391,544847411.2,1.1914005756378174,34.67507972717285,58318014054.4,98533169561.6,6540438732.8,190090035200.0,1960592000.0,46.832039976119994,545000000.0,0.10925315022468567,17225910.550585937,336.96461181640626,1042327214.2,30476601.80625,3133651.35,795066905.6,1.5855318307876587,0.33429155349731443,1305476352.0,98505585.6,11436865.0,1217258857.815625,0.601932168006897,1150.0,450.0,12267.0,5.0,25.95315933227539,2875.0,1920.0,4.0,58.0,54.0,62.0,44.0,55.0,53.0,90.0,545.0,2.0,35.28111279010773,1.0262198448181152,3196.0,21.0,3.721273183822632
7.11,71.8620834350586,28.16547966003418,14.684810425554003,14.89614703655243,36.58037147521973,27.29112091064453,20.249689531326293,0.01156969880685208,19.13008689880371,31.39238166809082,28.450831604003906,8.152851867675782,96.25930786132812,3.740689992904663,0.4710337519645691,19.728836059570312,1673.8756103515625,118.800830078125,2.832946932315827,0.15346686840057372,261.6951712608337,31.180709838867188,544847411.2,1.1914005756378174,34.67507972717285,58318014054.4,98533169561.6,6540438732.8,168095432704.0,1895171840.0,46.832039976119994,545000000.0,0.10925315022468567,17225910.550585937,336.96461181640626,1042327214.2,30476601.80625,3133651.35,795066905.6,1.2933063507080078,0.33429155349731443,1163936000.0,98505585.6,9623282.0,1217258857.815625,0.601932168006897,1150.0,450.0,12267.0,5.0,25.95315933227539,2875.0,1920.0,4.0,58.0,54.0,62.0,44.0,55.0,53.0,90.0,545.0,2.0,35.28111279010773,1.0262198448181152,3196.0,21.0,3.721273183822632
7.21,68.01947784423828,31.968914031982425,14.684810425554003,14.89614703655243,36.58037147521973,27.29112091064453,20.249689531326293,0.01156969880685208,19.256990432739254,31.72428703308105,28.450831604003906,8.152851867675782,96.17675018310548,3.82324743270874,0.5202555060386658,19.728836059570312,1673.8756103515625,118.800830078125,2.832946932315827,0.15346686840057372,261.6951712608337,8.495224952697754,544847411.2,1.1914005756378174,34.67507972717285,58318014054.4,98533169561.6,6540438732.8,161219411968.0,1898474496.0,46.832039976119994,545000000.0,0.10925315022468567,17225910.550585937,336.96461181640626,1042327214.2,30476601.80625,3133651.35,795066905.6,1.1479132175445557,0.33429155349731443,1110721280.0,98505585.6,8861470.0,1217258857.815625,0.601932168006897,1150.0,450.0,12267.0,5.0,25.95315933227539,2875.0,1920.0,4.0,58.0,54.0,62.0,44.0,55.0,53.0,90.0,545.0,2.0,35.28111279010773,1.0262198448181152,3196.0,21.0,3.721273183822632
7.32,67.9166030883789,32.077518463134766,14.684810425554003,14.89614703655243,36.58037147521973,27.29112091064453,20.249689531326293,0.01156969880685208,19.038942337036133,32.44691467285156,28.450831604003906,8.152851867675782,96.33037567138672,3.669623851776123,0.5182608366012573,19.728836059570312,1673.8756103515625,118.800830078125,2.832946932315827,0.15346686840057372,261.6951712608337,11.081087112426758,544847411.2,1.1914005756378174,34.67507972717285,58318014054.4,98533169561.6,6540438732.8,161134198784.0,1896362624.0,46.832039976119994,545000000.0,0.10925315022468567,17225910.550585937,336.96461181640626,1042327214.2,30476601.80625,3133651.35,795066905.6,1.1480743885040283,0.33429155349731443,1090586496.0,98505585.6,8661553.0,1217258857.815625,0.601932168006897,1150.0,450.0,12267.0,5.0,25.95315933227539,2875.0,1920.0,4.0,58.0,54.0,62.0,44.0,55.0,53.0,90.0,545.0,2.0,35.28111279010773,1.0262198448181152,3196.0,21.0,3.721273183822632
7.33,67.9166030883789,32.077518463134766,14.684810425554003,14.89614703655243,36.58037147521973,27.29112091064453,20.249689531326293,0.01156969880685208,19.038942337036133,32.44691467285156,28.450831604003906,8.152851867675782,96.33037567138672,3.669623851776123,0.5182608366012573,19.728836059570312,1673.8756103515625,118.800830078125,2.832946932315827,0.15346686840057372,261.6951712608337,11.081087112426758,544847411.2,1.1914005756378174,34.67507972717285,58318014054.4,98533169561.6,6540438732.8,161134198784.0,1896362624.0,46.832039976119994,545000000.0,0.10925315022468567,17225910.550585937,336.96461181640626,1042327214.2,30476601.80625,3133651.35,795066905.6,1.1480743885040283,0.33429155349731443,1090586496.0,98505585.6,8661553.0,1217258857.815625,0.601932168006897,300.0,46.0,7793.0,1.0,25.899555206298828,2875.0,1920.0,4.0,58.0,54.0,62.0,44.0,55.0,53.0,90.0,545.0,2.0,35.28111279010773,1.0262198448181152,3196.0,71.0,3.721273183822632
7.34,67.9166030883789,32.077518463134766,14.684810425554003,14.89614703655243,36.58037147521973,27.29112091064453,20.249689531326293,0.01156969880685208,19.038942337036133,32.44691467285156,28.450831604003906,8.152851867675782,96.33037567138672,3.669623851776123,0.5182608366012573,19.728836059570312,1673.8756103515625,118.800830078125,2.832946932315827,0.15346686840057372,261.6951712608337,11.081087112426758,544847411.2,1.1914005756378174,34.67507972717285,58318014054.4,98533169561.6,6540438732.8,161134198784.0,1896362624.0,46.832039976119994,545000000.0,0.10925315022468567,17225910.550585937,336.96461181640626,1042327214.2,30476601.80625,3133651.35,795066905.6,1.1480743885040283,0.33429155349731443,1090586496.0,98505585.6,8661553.0,1217258857.815625,0.2625181376934051,117.0,2.0,6330.0,1.0,25.899555206298828,2875.0,1920.0,4.0,58.0,54.0,62.0,44.0,55.0,53.0,90.0,545.0,2.0,35.28111279010773,1.0262198448181152,3196.0,5.0,3.721273183822632
7.42,67.73778533935547,32.24711990356445,14.684810425554003,14.89614703655243,36.58037147521973,27.29112091064453,20.249689531326293,0.01156969880685208,19.454158782958984,31.68282127380371,28.450831604003906,8.152851867675782,96.0352783203125,3.964718580245972,0.5671312808990479,19.728836059570312,1673.8756103515625,118.800830078125,2.832946932315827,0.15346686840057372,261.6951712608337,7.162166118621826,544847411.2,1.1914005756378174,34.67507972717285,58318014054.4,98533169561.6,6540438732.8,160841367552.0,1893485696.0,46.832039976119994,545000000.0,0.10925315022468567,17225910.550585937,336.96461181640626,1042327214.2,30476601.80625,3133651.35,795066905.6,1.1478774547576904,0.33429155349731443,1124955008.0,98505585.6,9012707.0,1217258857.815625,0.2625181376934051,117.0,2.0,6330.0,1.0,25.899555206298828,2875.0,1920.0,4.0,58.0,54.0,62.0,44.0,55.0,53.0,90.0,545.0,2.0,35.28111279010773,1.0262198448181152,3196.0,5.0,3.721273183822632
7.52,68.07007598876953,31.950532913208008,14.684810425554003,14.89614703655243,36.58037147521973,27.29112091064453,20.249689531326293,0.01156969880685208,18.883563995361328,31.694557189941406,28.450831604003906,8.152851867675782,96.12757110595705,3.872428178787232,0.5920513272285461,19.728836059570312,1673.8756103515625,118.800830078125,2.832946932315827,0.15346686840057372,261.6951712608337,9.366912841796877,544847411.2,1.1914005756378174,34.67507972717285,58318014054.4,98533169561.6,6540438732.8,161566212096.0,1904312320.0,46.832039976119994,545000000.0,0.10925315022468567,17225910.550585937,336.96461181640626,1042327214.2,30476601.80625,3133651.35,795066905.6,1.1474884748458862,0.33429155349731443,1128787200.0,98505585.6,9110044.0,1217258857.815625,0.2625181376934051,117.0,2.0,6330.0,1.0,25.899555206298828,2875.0,1920.0,4.0,58.0,54.0,62.0,44.0,55.0,53.0,90.0,545.0,2.0,35.28111279010773,1.0262198448181152,3196.0,5.0,3.721273183822632
7.55,68.07007598876953,31.950532913208008,14.684810425554003,14.89614703655243,36.58037147521973,27.29112091064453,20.249689531326293,0.01156969880685208,18.883563995361328,31.694557189941406,28.450831604003906,8.152851867675782,96.12757110595705,3.872428178787232,0.5920513272285461,19.728836059570312,1673.8756103515625,118.800830078125,2.832946932315827,0.15346686840057372,261.6951712608337,9.366912841796877,544847411.2,1.1914005756378174,34.67507972717285,58318014054.4,98533169561.6,6540438732.8,161566212096.0,1904312320.0,46.832039976119994,545000000.0,0.10925315022468567,17225910.550585937,336.96461181640626,1042327214.2,30476601.80625,3133651.35,795066905.6,1.1474884748458862,0.33429155349731443,1128787200.0,98505585.6,9110044.0,1217258857.815625,0.2625181376934051,1150.0,450.0,12267.0,2.0,40.79144287109375,2875.0,1920.0,4.0,80.0,80.0,80.0,80.0,85.0,73.0,90.0,545.0,2.0,36.39037013053894,1.0262198448181152,3196.0,5.0,3.385371446609497
7.62,67.96442413330078,32.064048767089844,14.684810425554003,14.89614703655243,36.58037147521973,27.29112091064453,20.249689531326293,0.01156969880685208,19.568288803100582,32.421260833740234,28.450831604003906,8.152851867675782,96.20668029785156,3.7933192253112793,0.5679802894592285,19.728836059570312,1673.8756103515625,118.800830078125,2.832946932315827,0.15346686840057372,261.6951712608337,11.960881233215332,544847411.2,1.1914005756378174,34.67507972717285,58318014054.4,98533169561.6,6540438732.8,159285837824.0,1871709440.0,46.832039976119994,545000000.0,0.10925315022468567,17225910.550585937,336.96461181640626,1042327214.2,30476601.80625,3133651.35,795066905.6,1.150564193725586,0.33429155349731443,1095250560.0,98505585.6,8754118.0,1217258857.815625,0.2625181376934051,1150.0,450.0,12267.0,2.0,40.79144287109375,2875.0,1920.0,4.0,80.0,80.0,80.0,80.0,85.0,73.0,90.0,545.0,2.0,36.39037013053894,1.0262198448181152,3196.0,5.0,3.385371446609497
