Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.4768180847168,32.49176406860352,54.6912727355957,15.971304893493652,0.3491704761981964,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,30.110183715820312,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1386402944.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,784871424.0,91754146.0,5160833.0,2184972543.9726562,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2796.0,1920.0,3.0,61.0,59.0,63.0,30.0,61.0,45.0,72.0,545.0,2.0,19.733688235282894,3196.0,58.0,2.224040269851685
7.04,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,23.39265251159668,31.67750358581543,54.6912727355957,15.971304893493652,0.2907318472862243,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6034880876541138,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1387056896.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,762711680.0,91754146.0,4962366.0,2184972543.9726562,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2796.0,1920.0,3.0,61.0,59.0,63.0,30.0,61.0,45.0,72.0,545.0,2.0,19.733688235282894,3196.0,58.0,2.224040269851685
7.14,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.66684341430664,32.47583770751953,54.6912727355957,15.971304893493652,0.4983300864696502,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6667212843894958,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1765874816.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,929035904.0,91754146.0,7076563.5,2184972543.9726562,0.3664050102233886,330.0,64.0,7924.0,1.0,23.566102981567383,2796.0,1920.0,3.0,61.0,59.0,63.0,30.0,61.0,45.0,72.0,545.0,2.0,19.733688235282894,3196.0,58.0,2.224040269851685
7.19,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.66684341430664,32.47583770751953,54.6912727355957,15.971304893493652,0.4983300864696502,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6667212843894958,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1765874816.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,929035904.0,91754146.0,7076563.5,2184972543.9726562,0.0849106162786483,1044.0,452.0,12236.0,7.0,19.44091415405273,2796.0,1920.0,4.0,61.0,61.0,63.0,32.0,60.0,43.0,90.0,545.0,2.0,23.9726796746254,3196.0,64.0,3.148765802383423
7.24,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.96895217895508,31.71632575988769,54.6912727355957,15.971304893493652,0.5552657842636108,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6245753169059753,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1875050880.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,948100160.0,91754146.0,7426796.0,2184972543.9726562,0.0849106162786483,1044.0,452.0,12236.0,7.0,19.44091415405273,2796.0,1920.0,4.0,61.0,61.0,63.0,32.0,60.0,43.0,90.0,545.0,2.0,23.9726796746254,3196.0,64.0,3.148765802383423
7.28,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.96895217895508,31.71632575988769,54.6912727355957,15.971304893493652,0.5552657842636108,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6245753169059753,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1875050880.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,948100160.0,91754146.0,7426796.0,2184972543.9726562,0.9321645498275756,103.0,2.0,6330.0,1.0,19.44091415405273,2796.0,1920.0,4.0,61.0,61.0,63.0,32.0,60.0,43.0,90.0,545.0,2.0,23.9726796746254,3196.0,64.0,3.148765802383423
7.34,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,23.1519832611084,31.71564483642578,54.6912727355957,15.971304893493652,0.5309314131736755,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6381708383560181,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1874847616.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,947988672.0,91754146.0,7425223.0,2184972543.9726562,0.9321645498275756,103.0,2.0,6330.0,1.0,19.44091415405273,2796.0,1920.0,4.0,61.0,61.0,63.0,32.0,60.0,43.0,90.0,545.0,2.0,23.9726796746254,3196.0,64.0,3.148765802383423
7.44,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.662351608276367,32.48080825805664,54.6912727355957,15.971304893493652,0.5026108622550964,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.6693063378334045,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1873833856.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,969981376.0,91754146.0,7622092.0,2184972543.9726562,0.9321645498275756,103.0,2.0,6330.0,1.0,19.44091415405273,2796.0,1920.0,4.0,61.0,61.0,63.0,32.0,60.0,43.0,90.0,545.0,2.0,23.9726796746254,3196.0,64.0,3.148765802383423
7.54,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,23.156044006347656,31.730152130126957,54.6912727355957,15.971304893493652,0.5890647768974304,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,0.617560625076294,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1873581568.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,947377600.0,91754146.0,7421115.5,2184972543.9726562,0.9321645498275756,103.0,2.0,6330.0,1.0,19.44091415405273,2796.0,1920.0,4.0,61.0,61.0,63.0,32.0,60.0,43.0,90.0,545.0,2.0,23.9726796746254,3196.0,64.0,3.148765802383423
7.64,44.57697582244873,30.225205898284912,0.3768309652805328,1.6425422728061676,25.611183166503906,52.99218559265137,61.05747604370117,0.0236079550813883,22.62627410888672,32.50168228149414,54.6912727355957,15.971304893493652,0.5634549260139465,36.09922218322754,135.4583396911621,308.3915557861328,0.6903418004512787,0.28366608172655106,7.295759797096253,9.20606803894043,545035456.0,2.243583619594574,-1.0,85719048192.0,148445917184.0,9889234944.0,-1.0,1871677824.0,49.971622943878174,545000000.0,0.1995700374245643,15431304.875,158.17654164632162,2171552704.0,29331814.75,1956274.125,1925136896.0,-1.0,0.9348981603980063,946779904.0,91754146.0,7417625.0,2184972543.9726562,0.9321645498275756,103.0,2.0,6330.0,1.0,19.44091415405273,2796.0,1920.0,4.0,61.0,61.0,63.0,32.0,60.0,43.0,90.0,545.0,2.0,23.9726796746254,3196.0,64.0,3.148765802383423
