Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.07,0.005999088287353499,16.66546630859375,0.05691235043507601,32.45149230957031,0.5561225414276123,-1.0,-1.0,-1.0,0.11965781450271606,-1.0,1.000033458073934,5.415211200714111,544979338.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.35539863506953,545000000.0,-1.0,1667774.6666666667,60.03076680501302,61460770.666666664,1323391.0268554688,414932.6666666667,784103350.8571428,-1.0,-1.0,-1.0,7184482.0,7914004.0,40002760.6484375,0.5238595604896545,100.0,2.0,6691.0,1.0,21.32433319091797,2770.0,1920.0,4.0,66.0,63.0,68.0,54.0,51.0,48.0,90.0,545.0,2.0,30.81729412078857,3196.0,1.0,1.0,3.2963874340057373
7.17,0.005999088287353499,16.66546630859375,0.05691235043507601,31.737733840942383,0.6011897325515747,-1.0,-1.0,-1.0,0.11965781450271606,-1.0,1.000033458073934,3.643798112869263,544979338.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.35539863506953,545000000.0,-1.0,1667774.6666666667,60.03076680501302,61460770.666666664,1323391.0268554688,414932.6666666667,784103350.8571428,-1.0,-1.0,-1.0,7184482.0,7935635.5,40002760.6484375,0.5238595604896545,100.0,2.0,6691.0,1.0,21.32433319091797,2770.0,1920.0,4.0,66.0,63.0,68.0,54.0,51.0,48.0,90.0,545.0,2.0,30.81729412078857,3196.0,1.0,1.0,3.2963874340057373
7.27,0.005999088287353499,16.66546630859375,0.05691235043507601,32.45660781860352,0.5700191855430603,-1.0,-1.0,-1.0,0.11965781450271606,-1.0,1.000033458073934,5.755545616149902,544979338.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.35539863506953,545000000.0,-1.0,1667774.6666666667,60.03076680501302,61460770.666666664,1323391.0268554688,414932.6666666667,784103350.8571428,-1.0,-1.0,-1.0,7184482.0,7934644.0,40002760.6484375,0.5238595604896545,100.0,2.0,6691.0,1.0,21.32433319091797,2770.0,1920.0,4.0,66.0,63.0,68.0,54.0,51.0,48.0,90.0,545.0,2.0,30.81729412078857,3196.0,1.0,1.0,3.2963874340057373
7.37,0.005999088287353499,16.66546630859375,0.05691235043507601,31.72227668762207,0.5590136647224426,-1.0,-1.0,-1.0,0.11965781450271606,-1.0,1.000033458073934,6.721969127655029,544979338.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.35539863506953,545000000.0,-1.0,1667774.6666666667,60.03076680501302,61460770.666666664,1323391.0268554688,414932.6666666667,784103350.8571428,-1.0,-1.0,-1.0,7184482.0,7941943.5,40002760.6484375,0.5238595604896545,100.0,2.0,6691.0,1.0,21.32433319091797,2770.0,1920.0,4.0,66.0,63.0,68.0,54.0,51.0,48.0,90.0,545.0,2.0,30.81729412078857,3196.0,1.0,1.0,3.2963874340057373
7.47,0.005999088287353499,16.66546630859375,0.05691235043507601,31.729480743408203,0.5671290755271912,-1.0,-1.0,-1.0,0.11965781450271606,-1.0,1.000033458073934,6.777766704559326,544979338.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.35539863506953,545000000.0,-1.0,1667774.6666666667,60.03076680501302,61460770.666666664,1323391.0268554688,414932.6666666667,784103350.8571428,-1.0,-1.0,-1.0,7184482.0,7940805.0,40002760.6484375,0.5238595604896545,100.0,2.0,6691.0,1.0,21.32433319091797,2770.0,1920.0,4.0,66.0,63.0,68.0,54.0,51.0,48.0,90.0,545.0,2.0,30.81729412078857,3196.0,1.0,1.0,3.2963874340057373
7.57,0.005999088287353499,16.66546630859375,0.05691235043507601,32.491268157958984,0.5508917570114136,-1.0,-1.0,-1.0,0.11965781450271606,-1.0,1.000033458073934,7.085814476013184,544979338.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.35539863506953,545000000.0,-1.0,1667774.6666666667,60.03076680501302,61460770.666666664,1323391.0268554688,414932.6666666667,784103350.8571428,-1.0,-1.0,-1.0,7184482.0,7934947.5,40002760.6484375,0.5238595604896545,100.0,2.0,6691.0,1.0,21.32433319091797,2770.0,1920.0,4.0,66.0,63.0,68.0,54.0,51.0,48.0,90.0,545.0,2.0,30.81729412078857,3196.0,1.0,1.0,3.2963874340057373
7.67,0.005999088287353499,16.66546630859375,0.05691235043507601,31.72805404663086,0.5325605273246765,-1.0,-1.0,-1.0,0.11965781450271606,-1.0,1.000033458073934,8.599225997924805,544979338.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.35539863506953,545000000.0,-1.0,1667774.6666666667,60.03076680501302,61460770.666666664,1323391.0268554688,414932.6666666667,784103350.8571428,-1.0,-1.0,-1.0,7184482.0,7942747.5,40002760.6484375,0.5238595604896545,100.0,2.0,6691.0,1.0,21.32433319091797,2770.0,1920.0,4.0,66.0,63.0,68.0,54.0,51.0,48.0,90.0,545.0,2.0,30.81729412078857,3196.0,1.0,1.0,3.2963874340057373
7.73,0.005999088287353499,16.66546630859375,0.05691235043507601,31.72805404663086,0.5325605273246765,-1.0,-1.0,-1.0,0.11965781450271606,-1.0,1.000033458073934,8.599225997924805,544979338.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.35539863506953,545000000.0,-1.0,1667774.6666666667,60.03076680501302,61460770.666666664,1323391.0268554688,414932.6666666667,784103350.8571428,-1.0,-1.0,-1.0,7184482.0,7942747.5,40002760.6484375,0.5238595604896545,1078.0,451.0,12245.0,2.0,27.838977813720703,2770.0,1920.0,4.0,88.0,86.0,85.0,77.0,77.0,82.0,90.0,545.0,2.0,34.874218702316284,3196.0,1.0,1.0,3.382736921310425
7.77,0.005999088287353499,16.66546630859375,0.05691235043507601,32.49739074707031,0.567650556564331,-1.0,-1.0,-1.0,0.11965781450271606,-1.0,1.000033458073934,7.748999118804932,544979338.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.35539863506953,545000000.0,-1.0,1667774.6666666667,60.03076680501302,61460770.666666664,1323391.0268554688,414932.6666666667,784103350.8571428,-1.0,-1.0,-1.0,7184482.0,7941237.5,40002760.6484375,0.2040176093578338,243.0,58.0,7878.0,1.0,21.32433319091797,2770.0,1920.0,4.0,88.0,86.0,85.0,77.0,77.0,82.0,90.0,545.0,2.0,34.874218702316284,3196.0,1.0,1.0,3.382736921310425
7.85,0.005999088287353499,16.66546630859375,0.05691235043507601,32.49739074707031,0.567650556564331,-1.0,-1.0,-1.0,0.11965781450271606,-1.0,1.000033458073934,7.748999118804932,544979338.6666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.35539863506953,545000000.0,-1.0,1667774.6666666667,60.03076680501302,61460770.666666664,1323391.0268554688,414932.6666666667,784103350.8571428,-1.0,-1.0,-1.0,7184482.0,7941237.5,40002760.6484375,0.2040176093578338,100.0,2.0,6691.0,1.0,21.32433319091797,2770.0,1920.0,4.0,88.0,86.0,85.0,77.0,77.0,82.0,90.0,545.0,2.0,34.874218702316284,3196.0,1.0,14.0,3.382736921310425
