Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.02,0.22747290985924856,6.708111899239675,0.07039857291549972,31.770648956298828,0.4971166551113128,-1.0,-1.0,-1.0,0.550094655581883,-1.0,10.827314172472272,4.000675201416016,544989568.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,3415393.6071428573,53.77307564871652,976360973.7142857,6794925.571428572,656899.9754464285,885100434.2857143,-1.0,-1.0,-1.0,44256948.0,7619648.5,162341.46875,0.4042673110961914,103.0,2.0,6330.0,1.0,22.742305755615234,3165.0,1920.0,3.0,63.0,62.0,65.0,29.0,58.0,46.0,72.0,545.0,2.0,19.85444724559784,2736.0,2.0,2.0,2.208054304122925
7.04,0.22747290985924856,6.708111899239675,0.07039857291549972,32.50835418701172,0.5125584602355957,-1.0,-1.0,-1.0,0.550094655581883,-1.0,10.827314172472272,0.6337851285934448,544989568.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,3415393.6071428573,53.77307564871652,976360973.7142857,6794925.571428572,656899.9754464285,885100434.2857143,-1.0,-1.0,-1.0,44256948.0,7605183.5,162341.46875,0.4042673110961914,103.0,2.0,6330.0,1.0,22.742305755615234,3165.0,1920.0,3.0,63.0,62.0,65.0,29.0,58.0,46.0,72.0,545.0,2.0,19.85444724559784,2736.0,2.0,2.0,2.208054304122925
7.05,0.22747290985924856,6.708111899239675,0.07039857291549972,32.50835418701172,0.5125584602355957,-1.0,-1.0,-1.0,0.550094655581883,-1.0,10.827314172472272,0.6337851285934448,544989568.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,3415393.6071428573,53.77307564871652,976360973.7142857,6794925.571428572,656899.9754464285,885100434.2857143,-1.0,-1.0,-1.0,44256948.0,7605183.5,162341.46875,1.702795386314392,972.0,407.0,12092.0,7.0,21.98980712890625,3165.0,1920.0,4.0,81.0,79.0,81.0,73.0,83.0,69.0,90.0,545.0,2.0,26.61634087562561,2736.0,2.0,58.0,3.319607973098755
7.14,0.22747290985924856,6.708111899239675,0.07039857291549972,31.77707290649414,0.5590723752975464,-1.0,-1.0,-1.0,0.550094655581883,-1.0,10.827314172472272,0.6527955532073975,544989568.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,3415393.6071428573,53.77307564871652,976360973.7142857,6794925.571428572,656899.9754464285,885100434.2857143,-1.0,-1.0,-1.0,44256948.0,7557641.5,162341.46875,1.702795386314392,972.0,407.0,12092.0,7.0,21.98980712890625,3165.0,1920.0,4.0,81.0,79.0,81.0,73.0,83.0,69.0,90.0,545.0,2.0,26.61634087562561,2736.0,2.0,58.0,3.319607973098755
7.24,0.22747290985924856,6.708111899239675,0.07039857291549972,32.549644470214844,0.535185694694519,-1.0,-1.0,-1.0,0.550094655581883,-1.0,10.827314172472272,0.6484106183052063,544989568.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,3415393.6071428573,53.77307564871652,976360973.7142857,6794925.571428572,656899.9754464285,885100434.2857143,-1.0,-1.0,-1.0,44256948.0,7581383.0,162341.46875,1.702795386314392,972.0,407.0,12092.0,7.0,21.98980712890625,3165.0,1920.0,4.0,81.0,79.0,81.0,73.0,83.0,69.0,90.0,545.0,2.0,26.61634087562561,2736.0,2.0,58.0,3.319607973098755
7.34,0.22747290985924856,6.708111899239675,0.07039857291549972,31.770050048828125,0.5777318477630615,-1.0,-1.0,-1.0,0.550094655581883,-1.0,10.827314172472272,0.6396067142486572,544989568.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,3415393.6071428573,53.77307564871652,976360973.7142857,6794925.571428572,656899.9754464285,885100434.2857143,-1.0,-1.0,-1.0,44256948.0,7623184.0,162341.46875,1.702795386314392,972.0,407.0,12092.0,7.0,21.98980712890625,3165.0,1920.0,4.0,81.0,79.0,81.0,73.0,83.0,69.0,90.0,545.0,2.0,26.61634087562561,2736.0,2.0,58.0,3.319607973098755
7.44,0.22747290985924856,6.708111899239675,0.07039857291549972,31.74463653564453,0.5426065921783447,-1.0,-1.0,-1.0,0.550094655581883,-1.0,10.827314172472272,0.6542837023735046,544989568.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,3415393.6071428573,53.77307564871652,976360973.7142857,6794925.571428572,656899.9754464285,885100434.2857143,-1.0,-1.0,-1.0,44256948.0,7625183.0,162341.46875,1.702795386314392,972.0,407.0,12092.0,7.0,21.98980712890625,3165.0,1920.0,4.0,81.0,79.0,81.0,73.0,83.0,69.0,90.0,545.0,2.0,26.61634087562561,2736.0,2.0,58.0,3.319607973098755
7.55,0.22747290985924856,6.708111899239675,0.07039857291549972,32.49606704711914,0.5618632435798645,-1.0,-1.0,-1.0,0.550094655581883,-1.0,10.827314172472272,0.6557223200798035,544989568.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,3415393.6071428573,53.77307564871652,976360973.7142857,6794925.571428572,656899.9754464285,885100434.2857143,-1.0,-1.0,-1.0,44256948.0,7605899.0,162341.46875,1.702795386314392,972.0,407.0,12092.0,7.0,21.98980712890625,3165.0,1920.0,4.0,81.0,79.0,81.0,73.0,83.0,69.0,90.0,545.0,2.0,26.61634087562561,2736.0,2.0,58.0,3.319607973098755
7.65,0.22747290985924856,6.708111899239675,0.07039857291549972,31.750200271606445,0.5516836047172546,-1.0,-1.0,-1.0,0.550094655581883,-1.0,10.827314172472272,0.645486056804657,544989568.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,3415393.6071428573,53.77307564871652,976360973.7142857,6794925.571428572,656899.9754464285,885100434.2857143,-1.0,-1.0,-1.0,44256948.0,7625300.5,162341.46875,1.702795386314392,972.0,407.0,12092.0,7.0,21.98980712890625,3165.0,1920.0,4.0,81.0,79.0,81.0,73.0,83.0,69.0,90.0,545.0,2.0,26.61634087562561,2736.0,2.0,58.0,3.319607973098755
7.75,0.22747290985924856,6.708111899239675,0.07039857291549972,32.509246826171875,0.5389142632484436,-1.0,-1.0,-1.0,0.550094655581883,-1.0,10.827314172472272,0.6586464047431946,544989568.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,3415393.6071428573,53.77307564871652,976360973.7142857,6794925.571428572,656899.9754464285,885100434.2857143,-1.0,-1.0,-1.0,44256948.0,7831004.5,162341.46875,0.3300300240516662,260.0,48.0,7855.0,1.0,22.742305755615234,3165.0,1920.0,4.0,81.0,79.0,81.0,73.0,83.0,69.0,90.0,545.0,2.0,26.61634087562561,2736.0,2.0,58.0,3.319607973098755
