Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.0,0.8758047656821352,27.299645560128347,0.08833503084523335,32.471519470214844,0.3415939509868622,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.671589732170105,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6353716.5,168854.5078125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,3013.0,1920.0,4.0,75.0,74.0,78.0,69.0,65.0,69.0,90.0,545.0,2.0,35.52928268909454,3196.0,2.0,1.0,3.303195714950561
7.1,0.8758047656821352,27.299645560128347,0.08833503084523335,31.759626388549805,0.3176606893539428,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.6577001810073853,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6353152.0,168854.5078125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,3013.0,1920.0,4.0,75.0,74.0,78.0,69.0,65.0,69.0,90.0,545.0,2.0,35.52928268909454,3196.0,2.0,1.0,3.303195714950561
7.2,0.8758047656821352,27.299645560128347,0.08833503084523335,32.505218505859375,0.3978704512119293,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.6954758167266846,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6338563.5,168854.5078125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,3013.0,1920.0,4.0,75.0,74.0,78.0,69.0,65.0,69.0,90.0,545.0,2.0,35.52928268909454,3196.0,2.0,1.0,3.303195714950561
7.3,0.8758047656821352,27.299645560128347,0.08833503084523335,31.74151039123535,0.3461561799049377,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.6596487164497375,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6351616.0,168854.5078125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,3013.0,1920.0,4.0,75.0,74.0,78.0,69.0,65.0,69.0,90.0,545.0,2.0,35.52928268909454,3196.0,2.0,1.0,3.303195714950561
7.4,0.8758047656821352,27.299645560128347,0.08833503084523335,31.78305053710937,0.3274004161357879,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.6513749957084656,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6353521.0,168854.5078125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,3013.0,1920.0,4.0,75.0,74.0,78.0,69.0,65.0,69.0,90.0,545.0,2.0,35.52928268909454,3196.0,2.0,1.0,3.303195714950561
7.5,0.8758047656821352,27.299645560128347,0.08833503084523335,32.427730560302734,0.3211272358894348,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.6630658507347107,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6350154.5,168854.5078125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,3013.0,1920.0,4.0,75.0,74.0,78.0,69.0,65.0,69.0,90.0,545.0,2.0,35.52928268909454,3196.0,2.0,1.0,3.303195714950561
7.6,0.8758047656821352,27.299645560128347,0.08833503084523335,31.64766502380371,0.3314902782440185,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.6295574903488159,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6465655.0,168854.5078125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,3013.0,1920.0,4.0,75.0,74.0,78.0,69.0,65.0,69.0,90.0,545.0,2.0,35.52928268909454,3196.0,2.0,1.0,3.303195714950561
7.66,0.8758047656821352,27.299645560128347,0.08833503084523335,31.64766502380371,0.3314902782440185,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.6295574903488159,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6465655.0,168854.5078125,0.362997442483902,1114.0,448.0,12261.0,1.0,43.253517150878906,3013.0,1920.0,4.0,82.0,81.0,79.0,70.0,80.0,85.0,90.0,545.0,2.0,34.99413728713989,3196.0,2.0,4.0,3.2838499546051025
7.7,0.8758047656821352,27.299645560128347,0.08833503084523335,32.450321197509766,0.3217155039310455,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.6893926858901978,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6378455.0,168854.5078125,0.362997442483902,1114.0,448.0,12261.0,1.0,43.253517150878906,3013.0,1920.0,4.0,82.0,81.0,79.0,70.0,80.0,85.0,90.0,545.0,2.0,34.99413728713989,3196.0,2.0,4.0,3.2838499546051025
7.71,0.8758047656821352,27.299645560128347,0.08833503084523335,32.450321197509766,0.3217155039310455,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.6893926858901978,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6378455.0,168854.5078125,0.2877944409847259,134.0,2.0,6330.0,1.0,43.253517150878906,3013.0,1920.0,4.0,82.0,81.0,79.0,70.0,80.0,85.0,90.0,545.0,2.0,34.99413728713989,3196.0,2.0,5.0,3.2838499546051025
7.76,0.8758047656821352,27.299645560128347,0.08833503084523335,32.450321197509766,0.3217155039310455,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.6893926858901978,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6378455.0,168854.5078125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,3013.0,1920.0,4.0,82.0,81.0,79.0,70.0,80.0,85.0,90.0,545.0,2.0,34.99413728713989,3196.0,2.0,5.0,3.2838499546051025
7.8,0.8758047656821352,27.299645560128347,0.08833503084523335,31.719675064086918,0.3317093849182129,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.6696304082870483,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6347670.5,168854.5078125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,3013.0,1920.0,4.0,82.0,81.0,79.0,70.0,80.0,85.0,90.0,545.0,2.0,34.99413728713989,3196.0,2.0,5.0,3.2838499546051025
7.9,0.8758047656821352,27.299645560128347,0.08833503084523335,31.74766159057617,0.3079833984375,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.678881049156189,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6516409.0,168854.5078125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,3013.0,1920.0,4.0,82.0,81.0,79.0,70.0,80.0,85.0,90.0,545.0,2.0,34.99413728713989,3196.0,2.0,5.0,3.2838499546051025
8.0,0.8758047656821352,27.299645560128347,0.08833503084523335,32.49674606323242,0.3601124584674835,-1.0,-1.0,-1.0,0.5411268302372524,-1.0,3.97339882169451,0.655532956123352,545031072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11127006.142857144,102.31833757672992,953913394.2857143,18799562.14285714,2966447.1428571427,756531072.0,-1.0,-1.0,-1.0,75982237.71428572,6373985.0,168854.5078125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,3013.0,1920.0,4.0,82.0,81.0,79.0,70.0,80.0,85.0,90.0,545.0,2.0,34.99413728713989,3196.0,2.0,5.0,3.2838499546051025
