Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.0,0.7407603114843369,26.109062671661377,0.02838140819221735,31.70998764038086,0.3439031541347503,-1.0,-1.0,-1.0,0.43865409493446356,-1.0,3.98785936832428,0.663550853729248,544836416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.00860571861267,545000000.0,-1.0,10130388.75,249.72518920898438,1648832940.0,13368328.19116211,3718503.8125,1402713056.0,-1.0,-1.0,-1.0,68312768.0,6352182.5,1491799965.203125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2855.0,7907892587.5,1920.0,4.0,78.0,75.0,80.0,59.0,63.0,64.0,90.0,545.0,2.0,35.62289476394653,3196.0,1.0,2.0,3.3086445331573486
7.02,0.7407603114843369,26.109062671661377,0.02838140819221735,31.70998764038086,0.3439031541347503,-1.0,-1.0,-1.0,0.43865409493446356,-1.0,3.98785936832428,0.663550853729248,544836416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.00860571861267,545000000.0,-1.0,10130388.75,249.72518920898438,1648832940.0,13368328.19116211,3718503.8125,1402713056.0,-1.0,-1.0,-1.0,68312768.0,6352182.5,1491799965.203125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2855.0,7450402059.75,1920.0,4.0,78.0,75.0,80.0,59.0,63.0,64.0,90.0,545.0,2.0,35.62289476394653,3196.0,1.0,2.0,3.3086445331573486
7.04,0.7407603114843369,26.109062671661377,0.02838140819221735,32.45018768310547,0.298188716173172,-1.0,-1.0,-1.0,0.43865409493446356,-1.0,3.98785936832428,0.6645330786705017,544836416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.00860571861267,545000000.0,-1.0,10130388.75,249.72518920898438,1648832940.0,13368328.19116211,3718503.8125,1402713056.0,-1.0,-1.0,-1.0,68312768.0,6349996.0,1491799965.203125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2855.0,6444020212.0,1920.0,4.0,78.0,75.0,80.0,59.0,63.0,64.0,90.0,545.0,2.0,35.62289476394653,3196.0,1.0,2.0,3.3086445331573486
7.05,0.7407603114843369,26.109062671661377,0.02838140819221735,32.45018768310547,0.298188716173172,-1.0,-1.0,-1.0,0.43865409493446356,-1.0,3.98785936832428,0.6645330786705017,544836416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.00860571861267,545000000.0,-1.0,10130388.75,249.72518920898438,1648832940.0,13368328.19116211,3718503.8125,1402713056.0,-1.0,-1.0,-1.0,68312768.0,6349996.0,1491799965.203125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2855.0,6473016697.0,1920.0,4.0,78.0,75.0,80.0,59.0,63.0,64.0,90.0,545.0,2.0,35.62289476394653,3196.0,1.0,2.0,3.3086445331573486
7.08,0.7407603114843369,26.109062671661377,0.02838140819221735,32.45018768310547,0.298188716173172,-1.0,-1.0,-1.0,0.43865409493446356,-1.0,3.98785936832428,0.6645330786705017,544836416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.00860571861267,545000000.0,-1.0,10130388.75,249.72518920898438,1648832940.0,13368328.19116211,3718503.8125,1402713056.0,-1.0,-1.0,-1.0,68312768.0,6349996.0,1491799965.203125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2855.0,6531255550.0,1920.0,4.0,78.0,75.0,80.0,59.0,63.0,64.0,90.0,545.0,2.0,35.62289476394653,3196.0,1.0,2.0,3.3086445331573486
7.09,0.7407603114843369,26.109062671661377,0.02838140819221735,32.45018768310547,0.298188716173172,-1.0,-1.0,-1.0,0.43865409493446356,-1.0,3.98785936832428,0.6645330786705017,544836416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.00860571861267,545000000.0,-1.0,10130388.75,249.72518920898438,1648832940.0,13368328.19116211,3718503.8125,1402713056.0,-1.0,-1.0,-1.0,68312768.0,6349996.0,1491799965.203125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2855.0,6560433255.0,1920.0,4.0,78.0,75.0,80.0,59.0,63.0,64.0,90.0,545.0,2.0,35.62289476394653,3196.0,1.0,2.0,3.3086445331573486
7.1,0.7407603114843369,26.109062671661377,0.02838140819221735,32.45018768310547,0.298188716173172,-1.0,-1.0,-1.0,0.43865409493446356,-1.0,3.98785936832428,0.6645330786705017,544836416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.00860571861267,545000000.0,-1.0,10130388.75,249.72518920898438,1648832940.0,13368328.19116211,3718503.8125,1402713056.0,-1.0,-1.0,-1.0,68312768.0,6349996.0,1491799965.203125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2855.0,6589627176.0,1920.0,4.0,78.0,75.0,80.0,59.0,63.0,64.0,90.0,545.0,2.0,35.62289476394653,3196.0,1.0,2.0,3.3086445331573486
7.11,0.7407603114843369,26.109062671661377,0.02838140819221735,32.45018768310547,0.298188716173172,-1.0,-1.0,-1.0,0.43865409493446356,-1.0,3.98785936832428,0.6645330786705017,544836416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.00860571861267,545000000.0,-1.0,10130388.75,249.72518920898438,1648832940.0,13368328.19116211,3718503.8125,1402713056.0,-1.0,-1.0,-1.0,68312768.0,6349996.0,1491799965.203125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2855.0,8337797918.0,1920.0,4.0,78.0,75.0,80.0,59.0,63.0,64.0,90.0,545.0,2.0,35.62289476394653,3196.0,1.0,2.0,3.3086445331573486
7.12,0.7407603114843369,26.109062671661377,0.02838140819221735,32.45018768310547,0.298188716173172,-1.0,-1.0,-1.0,0.43865409493446356,-1.0,3.98785936832428,0.6645330786705017,544836416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.00860571861267,545000000.0,-1.0,10130388.75,249.72518920898438,1648832940.0,13368328.19116211,3718503.8125,1402713056.0,-1.0,-1.0,-1.0,68312768.0,6349996.0,1491799965.203125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2855.0,7375743957.0,1920.0,4.0,78.0,75.0,80.0,59.0,63.0,64.0,90.0,545.0,2.0,35.62289476394653,3196.0,1.0,2.0,3.3086445331573486
7.13,0.7407603114843369,26.109062671661377,0.02838140819221735,32.45018768310547,0.298188716173172,-1.0,-1.0,-1.0,0.43865409493446356,-1.0,3.98785936832428,0.6645330786705017,544836416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.00860571861267,545000000.0,-1.0,10130388.75,249.72518920898438,1648832940.0,13368328.19116211,3718503.8125,1402713056.0,-1.0,-1.0,-1.0,68312768.0,6349996.0,1491799965.203125,0.8550679087638855,326.0,63.0,7662.0,1.0,23.353321075439453,2855.0,6648106684.0,1920.0,4.0,78.0,75.0,80.0,59.0,63.0,64.0,90.0,545.0,2.0,35.62289476394653,3196.0,1.0,2.0,3.3086445331573486
