Time (s),% Linear Filtered,% Nearest Filtered,% Non-Base Level Textures,% Prims Clipped,% Prims Trivially Rejected,% Shader ALU Capacity Utilized,% Shaders Busy,% Stalled on System Memory,% Texture Fetch Stall,% Texture L2 Miss,% Time ALUs Working,% Time EFUs Working,% Time Shading Fragments,% Time Shading Vertices,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,stale_frames_per_second,timewarp_gpu_ms
7.0,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,19.663551330566406,31.753738403320312,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.3114056587219238,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,12.039565086364746,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1386001536.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,917769536.0,33198306.0,6427633.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,6801801109.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.01,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,19.663551330566406,31.753738403320312,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.3114056587219238,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,12.039565086364746,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1386001536.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,917769536.0,33198306.0,6427633.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,6003907402.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.02,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,19.663551330566406,31.753738403320312,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.3114056587219238,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,12.039565086364746,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1386001536.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,917769536.0,33198306.0,6427633.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,6029719534.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.03,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,19.663551330566406,31.753738403320312,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.3114056587219238,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,12.039565086364746,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1386001536.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,917769536.0,33198306.0,6427633.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,6056669315.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.04,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,19.663551330566406,31.753738403320312,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.3114056587219238,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,12.039565086364746,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1386001536.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,917769536.0,33198306.0,6427633.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,6084600532.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.06,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,19.663551330566406,31.753738403320312,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.3114056587219238,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,12.039565086364746,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1386001536.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,917769536.0,33198306.0,6427633.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,7146526627.5,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.07,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,19.663551330566406,31.753738403320312,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.3114056587219238,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,12.039565086364746,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1386001536.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,917769536.0,33198306.0,6427633.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,6141731423.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.08,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.227495193481445,31.749740600585938,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.3278229534626007,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.678715705871582,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1495337728.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,974414336.0,33198306.0,6963067.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,6172277795.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.09,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.227495193481445,31.749740600585938,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.3278229534626007,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.678715705871582,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1495337728.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,974414336.0,33198306.0,6963067.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,6979520687.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
7.1,21.814773082733154,15.685227394104004,0.382266233364741,35.71428680419922,42.85714340209961,29.32765281200409,0.2185812145471573,0.024595078480030768,20.227495193481445,31.749740600585938,30.417738914489746,8.290549525991082,35.83558654785156,14.164413511753082,0.3278229534626007,24.05050230026245,76.40676498413086,134.29641723632812,4.785714149475098,0.15279089659452438,822.44775390625,0.678715705871582,544987744.0,1.3170318305492401,2.6585738249123096,71976321024.0,91816704000.0,6390590464.0,-1.0,1495337728.0,50.46223959326744,545000000.0,0.11583510041236877,2108.63232421875,150.61659240722656,3219580.25,19881.388671875,2483472.09375,688325520.0,-1.0,0.3505566567182541,974414336.0,33198306.0,6963067.0,3021558.234375,0.6356256604194641,287.0,52.0,7746.0,1.0,22.358577728271484,2878.0,6202299514.0,1920.0,3.0,55.0,55.0,55.0,42.0,49.0,47.0,90.0,545.0,2.0,33.79750847816467,2736.0,22.0,2.25677490234375
