db_id,room_label,noise_type,TotalUsedMem_mean,TotalUsedMem_std,TotalUsedMem_max,TotalUsedMem_min,TotalUsedMem_median,CpuUtil_mean,CpuUtil_std,CpuUtil_max,CpuUtil_min,CpuUtil_median,GpuUtil_mean,GpuUtil_std,GpuUtil_max,GpuUtil_min,GpuUtil_median,BatteryMicroAmps_mean,BatteryMicroAmps_std,BatteryMicroAmps_max,BatteryMicroAmps_min,BatteryMicroAmps_median,BatteryVoltageMv_mean,BatteryVoltageMv_std,BatteryVoltageMv_max,BatteryVoltageMv_min,BatteryVoltageMv_median,AvgFPS_mean,AvgFPS_std,AvgFPS_max,AvgFPS_min,AvgFPS_median,WorstFrameMs_mean,WorstFrameMs_std,WorstFrameMs_max,WorstFrameMs_min,WorstFrameMs_median,BestFrameMs_mean,BestFrameMs_std,BestFrameMs_max,BestFrameMs_min,BestFrameMs_median,MainThreadMs_mean,MainThreadMs_std,MainThreadMs_max,MainThreadMs_min,MainThreadMs_median,GCAllocRate_mean,GCAllocRate_std,GCAllocRate_max,FrameTimeStdDev_mean,FrameTimeStdDev_std,FrameTimeStdDev_max,FrameTimeStdDev_min,FrameTimeStdDev_median,CpuClockFreq_mean,CpuClockFreq_max,CpuClockFreq_min,CpuClockFreq_median,WorstFrameMs_range,CpuUtil_range
19,kitchen,0.0,144708451.8021978,316441.72262598376,145288860,144146996,144658268.0,0.1472802197802197,0.0093614958417768,0.1579,0.1309,0.1527,0.271165934065934,0.0015367512471459,0.2744,0.2685,0.2714,-2309974.461538461,154897.46971266065,-1962572,-2699773,-2297664.0,4060.252747252747,12.102886163219726,4066,4030,4066.0,72.00571428571428,0.2236770631321609,73.52,71.42,71.98,15.731428571428571,0.920704526651643,23.52,14.56,15.66,12.157912087912086,0.9510514841578902,13.38,4.12,12.26,13.862727472527473,0.2769393307270399,14.6846,13.2466,13.8705,0.0,0.0,0,0.0009457692307692,0.0004733298374735,0.005003,0.000358,0.000873,1920000.0,1920000,1920000,1920000.0,8.959999999999999,0.027
20,kitchen,0.0,144682141.30769232,291899.83377683925,145246284,144150556,144606876.0,0.1418967032967032,0.008996387553401,0.16,0.1287,0.1386,0.320032967032967,0.0010508255955364,0.3224,0.3188,0.3197,-2366879.340659341,196740.66749698817,-2002124,-2756904,-2381162.0,4049.6593406593406,14.4208335251617,4058,4025,4058.0,72.00769230769231,0.2293714935454755,73.06,71.41,71.98,15.814285714285711,0.8626897766831663,21.89,14.56,15.74,12.005494505494504,0.8106955364051617,13.0,6.42,12.04,13.938167032967034,0.4184670317705766,14.8494,12.211,14.0058,0.0,0.0,0,0.0010158351648351,0.0004206030396608,0.004085,0.000528,0.000996,1920000.0,1920000,1920000,1920000.0,7.33,0.0312999999999999
21,kitchen,1.0,145612114.04395604,283809.7398960344,146180416,145040444,145551170.0,0.1644780219780219,0.0175518457541447,0.2077,0.1386,0.159,0.349065934065934,0.0054279773147036,0.3565,0.341,0.3507,-2366340.032967033,142545.21354242117,-2111624,-2697942,-2333553.0,4036.164835164835,11.978001814681974,4066,4010,4041.0,72.00912087912087,0.3516173689037192,73.11,71.16,72.01,15.64098901098901,0.7833915651335189,21.22,14.6,15.58,12.19945054945055,0.8122347261138553,13.15,6.02,12.41,13.885072527472529,0.5275922777772698,15.713,12.4924,13.9859,0.0,0.0,0,0.0009842307692307,0.000369069101537,0.004022,0.000632,0.000911,1920000.0,1920000,1920000,1920000.0,6.619999999999999,0.0691
22,kitchen,1.0,145502612.52747253,299084.5961262805,146236278,144971954,145429482.0,0.1550142857142857,0.0097807244838289,0.169,0.14,0.1534,0.343078021978022,0.0012719890109415,0.3448,0.3412,0.3426,-2404636.186813187,160026.80570509372,-2105765,-2766059,-2370542.0,4009.4065934065934,11.953593622354266,4027,4000,4005.0,72.00692307692307,0.4511459293539621,74.18,71.06,72.0,15.680549450549451,0.8100073561221017,21.45,14.57,15.71,12.20978021978022,0.7939353150561353,13.24,6.14,12.29,13.879832967032968,0.5185042942187857,14.8583,12.8764,13.9139,0.0,0.0,0,0.0009763076923076,0.0003887397784953,0.004039,0.000482,0.00098,1920000.0,1920000,1920000,1920000.0,6.879999999999999,0.0289999999999999
23,kitchen,2.0,145471291.25274727,283096.34404844564,146028096,144926862,145424022.0,0.1524065934065934,0.0072561820722869,0.172,0.1382,0.1536,0.2913076923076923,0.0150933482830405,0.326,0.272,0.2877,-2369652.10989011,194878.58416628148,-1890061,-2786567,-2323299.0,3982.6153846153848,5.626858667279602,4002,3981,3981.0,72.01065934065934,0.3945146165375658,74.02,71.34,72.01,15.741648351648353,0.7584256555322182,21.21,14.84,15.66,12.14032967032967,0.7288125053041198,13.14,6.55,12.15,13.86094175824176,0.6018781694857698,15.1413,12.5083,13.8746,0.0,0.0,0,0.0010255824175824,0.000364884184546,0.003954,0.00056,0.000952,1920000.0,1920000,1920000,1920000.0,6.370000000000001,0.0338
24,kitchen,2.0,145421554.0989011,298677.6344342709,145999960,144849062,145369416.0,0.1544175824175824,0.0105746929916727,0.1809,0.1448,0.1528,0.2957,0.0117815958172057,0.3207,0.2832,0.2915,-2351924.758241758,201650.62950428456,-1956347,-2851388,-2317806.0,4022.076923076923,7.038356451506759,4029,4015,4029.0,72.00175824175824,0.3379204160304727,73.21,71.2,72.02,15.654175824175825,0.7569868132332522,20.58,14.14,15.64,12.13967032967033,0.7365255529239225,13.71,6.84,12.12,13.951727472527471,0.4281962045256913,14.9179,13.2043,13.9228,0.0,0.0,0,0.0009752527472527,0.0003628367736295,0.003627,0.000119,0.000986,1920000.0,1920000,1920000,1920000.0,6.439999999999998,0.0360999999999999
25,conference,0.0,144448232.3956044,301309.8246217734,145108486,143953132,144495212.0,0.1522560439560439,0.0097867053676711,0.1647,0.1334,0.1535,0.3325626373626373,0.0065214287519709,0.3353,0.3058,0.3341,-2522627.483516484,171051.7390700097,-2261408,-3074783,-2511170.0,3871.7582417582416,11.343466704417809,3887,3861,3864.0,72.00241758241758,0.3048509313649701,73.47,71.29,71.96,15.785494505494505,0.8412111159727627,21.22,14.58,15.59,12.024395604395604,0.8687950900096687,13.16,6.15,12.16,13.97068131868132,0.387472070939625,15.131,12.3235,14.0064,675.1648351648352,6440.662036819465,61440,0.0010127692307692,0.0004183684733427,0.003898,0.000414,0.000933,1920000.0,1920000,1920000,1920000.0,6.639999999999999,0.0313
26,conference,0.0,144625931.42857143,298192.6487727724,145150564,144133124,144674804.0,0.1421593406593406,0.0074627814001956,0.1558,0.1299,0.1433,0.3346032967032967,0.0023940876503702,0.3374,0.3302,0.3357,-2522703.9340659343,188072.64766755563,-2081594,-2992383,-2555483.0,3867.186813186813,2.403294442182065,3872,3866,3866.0,72.00472527472527,0.2592910876445013,73.61,71.56,71.98,15.668461538461536,0.7128174506482835,21.41,14.2,15.57,12.153076923076924,0.7686578379193643,13.51,6.07,12.21,13.890946153846151,0.3565599345934214,14.9353,13.1827,13.9022,0.0,0.0,0,0.0009533406593406,0.0003654535757043,0.003993,0.000264,0.000918,1920000.0,1920000,1920000,1920000.0,7.210000000000001,0.0259
27,conference,1.0,145476463.94505495,303780.05427093105,146111131,144964632,145533836.0,0.1725736263736264,0.0143065706362483,0.1937,0.1446,0.1746,0.3210186813186813,0.0017319810165697,0.3225,0.3169,0.3218,-2464688.2527472526,203250.40494247447,-2014576,-2931957,-2430235.0,3877.3736263736255,4.909510841550013,3881,3870,3881.0,72.00076923076922,0.4703739192723412,74.57,71.05,72.03,15.742307692307692,0.831127850738684,20.52,14.24,15.69,12.143516483516484,0.8371437864367863,13.31,6.73,12.32,13.864764835164836,0.5795526415307329,15.0681,12.6593,13.8939,675.1648351648352,6440.662036819465,61440,0.0010503296703296,0.0004008496546904,0.003703,0.000325,0.001006,1920000.0,1920000,1920000,1920000.0,6.279999999999999,0.0491
28,conference,1.0,145458436.7912088,299526.9028322609,146102493,144961632,145529656.0,0.165487912087912,0.009072116440131,0.1821,0.1475,0.1644,0.3131483516483516,0.0025476944975304,0.3159,0.3067,0.3138,-2487414.032967033,172544.76364252393,-2136161,-2848459,-2487732.0,3862.483516483516,2.2179201336318743,3863,3848,3863.0,72.01043956043956,0.2643857118677269,73.05,71.15,72.0,15.57934065934066,0.8101464918256066,21.32,14.45,15.51,12.258571428571427,0.8046649702116487,13.29,6.82,12.37,14.013425274725275,0.4698369527100524,15.3036,12.5218,14.0473,0.0,0.0,0,0.0009557692307692,0.0004062201121155,0.003905,0.000415,0.00095,1920000.0,1920000,1920000,1920000.0,6.870000000000001,0.0346
