db_id,room_label,noise_type,TotalUsedMem_mean,TotalUsedMem_std,TotalUsedMem_max,TotalUsedMem_min,TotalUsedMem_median,CpuUtil_mean,CpuUtil_std,CpuUtil_max,CpuUtil_min,CpuUtil_median,GpuUtil_mean,GpuUtil_std,GpuUtil_max,GpuUtil_min,GpuUtil_median,BatteryMicroAmps_mean,BatteryMicroAmps_std,BatteryMicroAmps_max,BatteryMicroAmps_min,BatteryMicroAmps_median,BatteryTemp_mean,BatteryTemp_std,BatteryTemp_max,BatteryTemp_min,BatteryTemp_median,BatteryLevel_mean,BatteryLevel_std,BatteryLevel_max,BatteryLevel_min,BatteryLevel_median,BatteryVoltageMv_mean,BatteryVoltageMv_std,BatteryVoltageMv_max,BatteryVoltageMv_min,BatteryVoltageMv_median,AvgFPS_mean,AvgFPS_std,AvgFPS_max,AvgFPS_min,AvgFPS_median,WorstFrameMs_mean,WorstFrameMs_std,WorstFrameMs_max,WorstFrameMs_min,WorstFrameMs_median,BestFrameMs_mean,BestFrameMs_std,BestFrameMs_max,BestFrameMs_min,BestFrameMs_median,MainThreadMs_mean,MainThreadMs_std,MainThreadMs_max,MainThreadMs_min,MainThreadMs_median,GCAllocRate_mean,GCAllocRate_std,GCAllocRate_max,GCAllocRate_min,GCAllocRate_median,FrameTimeStdDev_mean,FrameTimeStdDev_std,FrameTimeStdDev_max,FrameTimeStdDev_min,FrameTimeStdDev_median,CpuClockFreq_mean,CpuClockFreq_std,CpuClockFreq_max,CpuClockFreq_min,CpuClockFreq_median,WorstFrameMs_range,CpuUtil_range
45,conference,1.0,146343064.74725273,285193.90282068355,146985251,145874878,146385316.0,0.1684087912087912,0.00930857010563263,0.1852,0.1514,0.1663,0.35292747252747253,0.015111210451803003,0.3679,0.3239,0.3593,-2763133.4395604394,204906.3329921591,-2333553,-3136674,-2758002.0,55.0,0.0,55.0,55.0,55.0,0.08,0.0,0.08,0.08,0.08,3466.153846153846,14.51200505093243,3500,3460,3460.0,72.01208791208792,0.45474661194392735,73.21,71.09,72.06,15.683076923076923,0.8961146904618503,21.89,14.25,15.54,12.17769230769231,0.7859687255908072,13.24,6.46,12.25,13.871092307692306,0.5385507974041217,15.1663,12.8359,13.8823,0.0,0.0,0,0,0.0,0.0010092307692307692,0.00039950764356261976,0.004082,0.000334,0.000992,1920000.0,0.0,1920000,1920000,1920000.0,7.640000000000001,0.0338
46,conference,1.0,146043663.76923078,295245.04173450544,146715061,145540012,146049208.0,0.16875824175824175,0.010552662285825382,0.1965,0.1512,0.1702,0.34422527472527475,0.011636585919767533,0.359,0.3227,0.3446,-2779440.263736264,210015.58983010106,-2469055,-3248737,-2787300.0,54.0,0.0,54.0,54.0,54.0,0.08,0.0,0.08,0.08,0.08,3467.8571428571427,5.596767774689865,3471,3458,3471.0,72.00857142857143,0.4634354118454708,73.17,70.91,72.0,15.71879120879121,0.9477562217795547,22.1,14.43,15.55,12.253296703296703,0.8812012696629967,13.18,6.04,12.42,13.936447252747252,0.5285153861611176,14.856,12.8341,13.9996,0.0,0.0,0,0,0.0,0.0010136043956043956,0.0004333541758864704,0.004266,0.000555,0.000982,1920000.0,0.0,1920000,1920000,1920000.0,7.670000000000002,0.04530000000000001
47,conference,2.0,146144865.05555555,276023.9036553113,146639818,145698834,146160720.0,0.17018111111111112,0.009268611939815301,0.1881,0.1523,0.1684,0.3157111111111111,0.009077140623435778,0.3317,0.2987,0.31535,-2778233.8444444444,206747.46682099125,-2367978,-3289021,-2768989.0,55.0,0.0,55.0,55.0,55.0,0.07,0.0,0.07,0.07,0.07,3454.0,0.0,3454,3454,3454.0,71.99855555555555,0.40375919264203264,73.93,70.75,72.02,15.705222222222222,0.8432550999226562,21.19,14.52,15.655000000000001,12.159777777777778,0.868574937453605,13.24,6.26,12.24,13.819496666666666,0.5827672053288017,14.9205,12.6148,13.7761,682.6666666666666,6476.34464802484,61440,0,0.0,0.001032177777777778,0.0004132084540119144,0.003958,0.000443,0.0010265,1920000.0,0.0,1920000,1920000,1920000.0,6.670000000000002,0.0358
48,conference,2.0,146037933.1098901,303875.02823817503,146665601,145554128,146022770.0,0.17242527472527472,0.010114814145670958,0.1962,0.1609,0.1726,0.3159065934065934,0.005591894971947259,0.3257,0.3057,0.3163,-2745124.318681319,208411.38448867472,-2330990,-3228961,-2730536.0,54.0,0.0,54.0,54.0,54.0,0.07,0.0,0.07,0.07,0.07,3473.285714285714,0.7037315505491158,3475,3473,3473.0,72.00527472527472,0.37015414404554425,73.15,71.04,71.96,15.678791208791209,1.0106145931668788,22.11,14.43,15.49,12.098791208791209,0.9763604015421941,13.27,5.48,12.31,14.034053846153846,0.5525528753597938,15.3899,12.6724,14.1584,675.1648351648352,6440.662036819465,61440,0,0.0,0.0010374725274725275,0.00048701070808805614,0.004456,0.000374,0.000985,1920000.0,0.0,1920000,1920000,1920000.0,7.68,0.035300000000000026
49,conference,0.0,144222785.7802198,177710.9236900568,144550324,143919604,144215252.0,0.15165934065934067,0.012454575045357422,0.1854,0.141,0.1472,0.30055604395604396,0.0007499938949690613,0.3019,0.2991,0.3006,-2308408.901098901,177825.5552570837,-2018604,-2967114,-2275691.0,41.0,0.0,41.0,41.0,41.0,0.91,0.0,0.91,0.91,0.91,4037.4285714285716,12.976168632572163,4086,4034,4034.0,72.00626373626373,0.2944020242670755,73.28,70.82,71.97,15.729010989010987,0.9490276368122562,23.54,14.57,15.57,12.125054945054947,0.9606090355444918,13.13,4.23,12.25,13.849421978021978,0.38163541263654516,14.9552,12.9247,13.818,675.1648351648352,6440.662036819466,61440,0,0.0,0.0009643516483516483,0.0004781639972883866,0.004981,0.000451,0.000891,1920000.0,0.0,1920000,1920000,1920000.0,8.969999999999999,0.04440000000000002
50,conference,0.0,144081788.02197802,184245.3745302768,144501660,143774452,144084091.0,0.14074945054945054,0.00714186987072052,0.1488,0.1258,0.1429,0.2956846153846154,0.0019115975330087547,0.2984,0.2937,0.2951,-2274088.846153846,171086.84218800973,-1905442,-2735297,-2272395.0,41.0,0.0,41.0,41.0,41.0,0.91,0.0,0.91,0.91,0.91,4091.1428571428573,6.526137923035127,4098,4085,4085.0,72.01,0.36763810708056166,72.83,71.21,72.09,15.666153846153845,0.8526204955322793,21.43,14.39,15.6,12.101208791208792,0.7677743232730639,13.08,6.34,12.18,13.942040659340659,0.45011684531859086,15.0106,13.0996,13.9021,675.1648351648352,6440.662036819466,61440,0,0.0,0.0009604615384615384,0.00040159535487830164,0.003974,0.000339,0.000918,1920000.0,0.0,1920000,1920000,1920000.0,7.039999999999999,0.022999999999999993
51,conference,1.0,145033013.6153846,184324.857657382,145506595,144711184,145034709.0,0.16115604395604397,0.012594912630734038,0.1842,0.1461,0.1567,0.3206,0.002324650511367239,0.3252,0.3161,0.3198,-2299724.3076923075,167269.20158572684,-1934007,-2862009,-2285579.0,42.0,0.0,42.0,42.0,42.0,0.91,0.0,0.91,0.91,0.91,4085.835164835165,3.012063656785877,4089,4083,4083.0,72.00351648351648,0.38693488865519376,74.52,70.95,71.99,15.713076923076924,0.8137371843096555,20.87,14.61,15.57,12.15230769230769,0.8321392470588839,13.27,6.07,12.26,13.92805824175824,0.44041668629856384,15.197,12.9686,13.8696,0.0,0.0,0,0,0.0,0.0010044395604395604,0.0003994295712858306,0.003921,0.000479,0.000966,1920000.0,0.0,1920000,1920000,1920000.0,6.260000000000002,0.038099999999999995
52,conference,1.0,145048817.2857143,201773.024802797,145465630,144721022,145024484.0,0.17204285714285716,0.025772643303649388,0.2551,0.1543,0.1645,0.3213087912087912,0.01586181051983137,0.3752,0.3107,0.3177,-2393186.813186813,260572.2932386374,-2084158,-3516810,-2350033.0,43.0,0.0,43.0,43.0,43.0,0.9,0.0,0.9,0.9,0.9,4071.4725274725274,1.3608874501641917,4072,4068,4072.0,72.02538461538462,0.4204185948216314,73.75,70.87,71.98,15.823846153846155,0.9273687618810657,21.55,14.52,15.68,12.148681318681318,0.888884705423611,13.4,7.39,12.36,13.822782417582417,0.5490387813854333,15.1332,12.4552,13.8121,675.1648351648352,6440.662036819466,61440,0,0.0,0.0010565714285714286,0.0004618536117972433,0.003914,0.000396,0.000977,1920000.0,0.0,1920000,1920000,1920000.0,7.030000000000001,0.1008
53,conference,2.0,145082532.13186812,192830.79203932505,145500913,144719654,145070592.0,0.1583208791208791,0.005712219192874881,0.1688,0.1409,0.158,0.3314901098901099,0.01466062796097125,0.3565,0.3017,0.3317,-2355812.263736264,173477.48385634855,-2049733,-2944408,-2316707.0,43.0,0.0,43.0,43.0,43.0,0.8899999999999999,0.0,0.89,0.89,0.89,4070.5934065934066,0.4939190662005774,4071,4070,4071.0,72.01351648351648,0.42389037793166806,73.58,71.06,71.96,15.681758241758242,0.9610533496656373,22.33,14.32,15.63,12.105824175824177,0.8626317173936279,13.23,6.03,12.16,13.933347252747254,0.5713584718974907,15.0082,12.7336,13.9244,0.0,0.0,0,0,0.0,0.001022978021978022,0.00045338337905186636,0.004352,0.00044,0.001017,1920000.0,0.0,1920000,1920000,1920000.0,8.009999999999998,0.027900000000000008
54,conference,2.0,145030688.48351648,198631.040458058,145486972,144711956,145002858.0,0.15837252747252747,0.0103678248649267,0.1765,0.1424,0.156,0.32934725274725274,0.001990887052956859,0.3349,0.3263,0.329,-2308276.1428571427,159973.93340719066,-1977588,-2790596,-2279719.0,43.0,0.0,43.0,43.0,43.0,0.8899999999999999,0.0,0.89,0.89,0.89,4058.2417582417584,11.817445352190981,4075,4050,4050.0,72.00582417582417,0.447320580876514,73.88,71.06,71.98,15.719780219780219,0.7619798452014889,20.85,14.69,15.67,12.085494505494506,0.7719344585538387,13.42,6.67,12.13,13.965485714285716,0.6044091962995173,15.2157,12.4794,13.9976,675.1648351648352,6440.662036819466,61440,0,0.0,0.0010401648351648352,0.00036602444556299064,0.003779,0.000442,0.001034,1920000.0,0.0,1920000,1920000,1920000.0,6.160000000000002,0.03409999999999999
