Total Resident Memory on Device,Value
,468.336

Allocated Memory Breakdown
Category,Allocated(MB),Resident(MB)
"Android Runtime",1183.785,9.066
"Executables & Mapped",784.965,222.555
"Graphics (Estimated)",445.253,
"Native",235.321,113.017
"Untracked*",168.548,
"Managed",50.862,50.597

Managed Memory Breakdown
Category,Allocated(MB),Resident(MB)
"Virtual Machine",44.874,44.710
"Empty Heap Space",4.207,4.105
"Objects",1.782,1.782
